tipo_documento;;documento;;nombre_completo;;caracterizacion
CC;;2072903424;;Gabriel Salazar;;INHABILITAR
CC;;2079688043;;Cesar Vega;;INHABILITAR
CC;;2078429333;;Gabriela Rodriguez;;EMBARGAR
NUIP;;2000853241;;Miguel Quiroz;;INHABILITAR
CC;;2030343016;;Alonso Castillo;;INHABILITAR
CE;;2009050199;;Lorena Lopez;;EMBARGAR
RC;;2026966812;;Marta Bautista;;EMBARGAR
RC;;2056853667;;Fernando Herrera;;EMBARGAR
RC;;2070975871;;Manuel Aguilar;;INHABILITAR
CE;;2014437754;;Camila Ramirez;;INHABILITAR
NUIP;;2067580734;;Pedro Arango;;INHABILITAR
CE;;2052001726;;Liliana Lara;;INHABILITAR
CC;;2076673455;;Eduardo Herrera;;EMBARGAR
CC;;2082183600;;Javier Gallego;;EMBARGAR
CC;;2070272174;;Santiago Lara;;EMBARGAR
TI;;2096757542;;Fernando Quiroz;;EMBARGAR
CC;;2081638584;;Angela Bonilla;;EMBARGAR
NUIP;;2069548512;;Victor Castaño;;INHABILITAR
CC;;2055332930;;Ivan Velasquez;;INHABILITAR
NUIP;;2007089995;;Gloria Vega;;INHABILITAR
TI;;2023361904;;Hector Arias;;INHABILITAR
TI;;2036634166;;Fernando Vega;;INHABILITAR
NUIP;;2071417914;;Alonso Mejia;;INHABILITAR
RC;;2024919456;;Rodrigo Castro;;EMBARGAR
NUIP;;2027574413;;Rodrigo Rojas;;INHABILITAR
NUIP;;2081705561;;Beatriz Jimenez;;INHABILITAR
CC;;2051003819;;Silvia Rojas;;EMBARGAR
TI;;2049015786;;Cristian Gallego;;EMBARGAR
CC;;2009958124;;Jose Ortiz;;EMBARGAR
CE;;2078696675;;Mauricio Montoya;;EMBARGAR
NUIP;;2042902670;;Manuel Rios;;INHABILITAR
CC;;2095446102;;Tatiana Torres;;EMBARGAR
CC;;2035540555;;Sebastian Fernandez;;EMBARGAR
NUIP;;2034820935;;Violeta Vega;;EMBARGAR
TI;;2041700042;;Victor Montoya;;EMBARGAR
CC;;2055924711;;Luis Ramirez;;INHABILITAR
RC;;2079057196;;Esteban Molina;;INHABILITAR
CC;;2034594669;;Jorge Vega;;INHABILITAR
CC;;2066776197;;Gabriela Bautista;;INHABILITAR
NUIP;;2059521804;;Patricia Gutierrez;;INHABILITAR
CC;;2007580448;;Marcela Velasquez;;EMBARGAR
TI;;2090540161;;Nathalia Mendez;;EMBARGAR
TI;;2049793516;;Liliana Arango;;EMBARGAR
CE;;2096624765;;Ricardo Aguilar;;EMBARGAR
CC;;2000109403;;Miguel Quiroz;;EMBARGAR
CE;;2009072016;;Luisa Castillo;;EMBARGAR
RC;;2034349654;;Carlos Ortiz;;EMBARGAR
CE;;2078742311;;Eduardo Sanchez;;EMBARGAR
TI;;2091659839;;Julia Moreno;;EMBARGAR
CE;;2091968662;;Marta Quiroz;;EMBARGAR
CE;;2035948873;;Manuel Vega;;EMBARGAR
NUIP;;2012004714;;Ana Herrera;;EMBARGAR
CC;;2045163280;;Patricia Ruiz;;EMBARGAR
CE;;2031531019;;Ana Torres;;INHABILITAR
RC;;2001887689;;Miguel Bonilla;;EMBARGAR
CC;;2039461006;;Felipe Moreno;;INHABILITAR
CE;;2005857902;;Felipe Diaz;;INHABILITAR
TI;;2060187587;;Marta Paredes;;EMBARGAR
CE;;2035430684;;Mauricio Murillo;;EMBARGAR
RC;;2042236505;;Javier Robledo;;EMBARGAR
RC;;2027210237;;Luisa Diaz;;EMBARGAR
NUIP;;2076546028;;Eduardo Aguilar;;EMBARGAR
NUIP;;2093513131;;Luis Cano;;INHABILITAR
CC;;2032798995;;Rafael Zapata;;EMBARGAR
RC;;2089757322;;Rodrigo Vega;;EMBARGAR
RC;;2000129197;;Patricia Giraldo;;INHABILITAR
CE;;2078129505;;Violeta Lopez;;INHABILITAR
CC;;2018368910;;Ricardo Cano;;INHABILITAR
RC;;2066007346;;Rosa Ramirez;;INHABILITAR
RC;;2069975798;;Rodrigo Beltran;;EMBARGAR
RC;;2005809832;;Roberto Ramirez;;EMBARGAR
CE;;2003708742;;Paola Diaz;;INHABILITAR
CC;;2097933084;;Luis Rios;;INHABILITAR
CE;;2049840353;;Beatriz Moreno;;EMBARGAR
NUIP;;2036572243;;Jose Sanchez;;EMBARGAR
RC;;2066515104;;Laura Ruiz;;INHABILITAR
RC;;2088519729;;Violeta Rivera;;EMBARGAR
RC;;2005855003;;Silvia Jimenez;;EMBARGAR
CC;;2099583067;;Diana Gutierrez;;INHABILITAR
CE;;2074291958;;Catalina Castro;;INHABILITAR
NUIP;;2003617240;;Jose Prieto;;INHABILITAR
TI;;2039658060;;Samuel Ramirez;;EMBARGAR
TI;;2061509682;;Carlos Bonilla;;INHABILITAR
RC;;2081092974;;Ivan Munoz;;EMBARGAR
CE;;2014169749;;Gustavo Ospina;;INHABILITAR
RC;;2022676797;;Carlos Salazar;;EMBARGAR
CC;;2062470099;;Esteban Giraldo;;INHABILITAR
NUIP;;2030509358;;Esteban Ortiz;;EMBARGAR
CC;;2026460368;;Marta Martinez;;EMBARGAR
TI;;2051117577;;Manuel Ortiz;;EMBARGAR
CE;;2094588516;;Liliana Robledo;;INHABILITAR
RC;;2031321789;;Alfredo Montoya;;EMBARGAR
NUIP;;2043523695;;Gloria Giraldo;;EMBARGAR
CE;;2033165581;;Laura Quiroz;;EMBARGAR
RC;;2001546054;;Laura Velasquez;;INHABILITAR
CC;;2017024233;;Paola Lopez;;EMBARGAR
TI;;2024328727;;Cristian Duarte;;EMBARGAR
CE;;2012257727;;Laura Valencia;;INHABILITAR
TI;;2033102033;;Lucrecia Castro;;INHABILITAR
RC;;2084046470;;Gabriela Cano;;EMBARGAR
