tipo_documento;;documento;;nombre_completo;;caracterizacion
CC;;2031674180;;Valentina Mejia;;INHABILITAR
NUIP;;2000556449;;Julia Torres;;EMBARGAR
RC;;2071027855;;Marcela Duarte;;EMBARGAR
CE;;2007981233;;Rodrigo Rojas;;EMBARGAR
CE;;2053719100;;Jose Ruiz;;INHABILITAR
TI;;2029219045;;Jose Ortiz;;EMBARGAR
NUIP;;2021386969;;Manuel Rios;;INHABILITAR
RC;;2093373042;;Lucrecia Ramirez;;INHABILITAR
TI;;2033729492;;Miguel Jaramillo;;INHABILITAR
CE;;2067466187;;Mariana Rivera;;INHABILITAR
NUIP;;2012012288;;Juan Giraldo;;INHABILITAR
CE;;2010976962;;Silvia Robledo;;INHABILITAR
TI;;2076862984;;Hernan Rios;;INHABILITAR
TI;;2028754824;;Alicia Zapata;;INHABILITAR
CE;;2048995047;;Laura Molina;;EMBARGAR
NUIP;;2056173308;;Diana Vega;;INHABILITAR
CC;;2006001058;;Ricardo Prieto;;EMBARGAR
RC;;2052285250;;Tatiana Ospina;;EMBARGAR
NUIP;;2026221044;;Luis Torres;;EMBARGAR
CC;;2036313138;;Gustavo Lopez;;INHABILITAR
TI;;2012282261;;Oscar Aguilar;;EMBARGAR
CE;;2088579032;;Sandra Castro;;INHABILITAR
CC;;2063591518;;Adriana Rodriguez;;INHABILITAR
CC;;2060351029;;Gustavo Garcia;;EMBARGAR
RC;;2008423559;;Alfredo Montoya;;INHABILITAR
CE;;2083363582;;Mariana Montoya;;EMBARGAR
TI;;2095421957;;Lucrecia Acosta;;INHABILITAR
CC;;2009227830;;Carlos Castaño;;EMBARGAR
CE;;2087423911;;Diana Aguilar;;EMBARGAR
RC;;2018266254;;Samuel Quiroz;;INHABILITAR
TI;;2031463822;;Gustavo Moreno;;EMBARGAR
CC;;2013172752;;Diego Castaño;;INHABILITAR
CC;;2081546137;;Claudia Giraldo;;INHABILITAR
CE;;2081572248;;Tatiana Prieto;;EMBARGAR
CC;;2026719910;;Gustavo Giraldo;;INHABILITAR
RC;;2011945533;;Monica Vega;;EMBARGAR
CC;;2044304468;;Sandra Vargas;;INHABILITAR
CC;;2047045608;;Patricia Garcia;;INHABILITAR
NUIP;;2085719480;;Rosa Ruiz;;INHABILITAR
RC;;2066231317;;Rafael Ortiz;;EMBARGAR
RC;;2066727346;;Silvia Castillo;;EMBARGAR
NUIP;;2004556679;;Ana Ramirez;;EMBARGAR
CE;;2047633264;;Angela Martinez;;EMBARGAR
RC;;2066354928;;Santiago Cabrera;;INHABILITAR
NUIP;;2044531449;;Javier Ruiz;;INHABILITAR
TI;;2012557341;;Lorena Ortiz;;INHABILITAR
CE;;2058279295;;Roberto Quiroz;;INHABILITAR
CE;;2006060665;;Javier Herrera;;EMBARGAR
NUIP;;2087776232;;Gustavo Cano;;EMBARGAR
NUIP;;2023118244;;Samuel Cardenas;;EMBARGAR
TI;;2029335662;;Liliana Mendez;;INHABILITAR
RC;;2062217726;;Silvia Moreno;;EMBARGAR
TI;;2096259255;;Marcela Ortiz;;EMBARGAR
CE;;2057853843;;Rosa Jaramillo;;INHABILITAR
TI;;2088394159;;Eduardo Gutierrez;;EMBARGAR
CC;;2047079602;;Sebastian Ruiz;;INHABILITAR
NUIP;;2009874916;;Luis Vega;;EMBARGAR
CE;;2014207374;;Mauricio Acosta;;INHABILITAR
CE;;2066809500;;Jose Murillo;;INHABILITAR
RC;;2049657429;;Veronica Ramirez;;INHABILITAR
RC;;2060270161;;Monica Gutierrez;;INHABILITAR
TI;;2090503145;;Mariana Gallego;;EMBARGAR
CC;;2074843351;;Silvia Cano;;EMBARGAR
RC;;2002216564;;Violeta Moreno;;EMBARGAR
TI;;2019118199;;Raquel Velasquez;;EMBARGAR
TI;;2018953713;;Marcela Ruiz;;INHABILITAR
TI;;2044223566;;Sandra Hernandez;;INHABILITAR
CE;;2033144119;;Oscar Castaño;;EMBARGAR
TI;;2093812348;;Ivan Aguilar;;INHABILITAR
NUIP;;2035192106;;Ricardo Montoya;;EMBARGAR
NUIP;;2001091897;;Ricardo Ramirez;;EMBARGAR
CE;;2066523818;;Cristian Torres;;INHABILITAR
NUIP;;2022656480;;Carmen Salazar;;INHABILITAR
TI;;2052800467;;Fernando Salazar;;INHABILITAR
RC;;2049224017;;Alonso Castro;;EMBARGAR
CC;;2089128839;;Cristian Hernandez;;INHABILITAR
TI;;2085301462;;Rodrigo Ramirez;;EMBARGAR
TI;;2060931049;;Julia Diaz;;EMBARGAR
TI;;2050281178;;Rodrigo Cardenas;;EMBARGAR
NUIP;;2055219401;;Hector Cardenas;;INHABILITAR
RC;;2046824001;;Julia Rios;;INHABILITAR
CC;;2086352628;;Gustavo Torres;;EMBARGAR
TI;;2067154914;;Violeta Rios;;EMBARGAR
CE;;2074114794;;Mariana Molina;;INHABILITAR
NUIP;;2037091407;;Rosa Garcia;;EMBARGAR
RC;;2035417625;;Luis Cano;;INHABILITAR
TI;;2064533326;;Rafael Garcia;;EMBARGAR
CE;;2023460360;;Esteban Lopez;;EMBARGAR
CE;;2040086495;;Carmen Montoya;;EMBARGAR
CC;;2011292785;;Claudia Mendez;;INHABILITAR
CE;;2090701748;;Santiago Giraldo;;EMBARGAR
RC;;2074844770;;Ana Zapata;;EMBARGAR
RC;;2032305204;;Valentina Ruiz;;INHABILITAR
CE;;2022460935;;Marcela Ruiz;;INHABILITAR
TI;;2075118181;;Paola Arias;;EMBARGAR
TI;;2051016051;;Cesar Salazar;;EMBARGAR
CC;;2064994987;;Fernando Robledo;;EMBARGAR
CC;;2059410636;;Fernando Duarte;;INHABILITAR
TI;;2049221150;;Ana Ortiz;;EMBARGAR
CE;;2008215079;;Angela Herrera;;EMBARGAR
