tipo_documento;;documento;;nombre_completo;;caracterizacion
CC;;2017620055;;Carlos Lopez;;INHABILITAR
CE;;2059753161;;Alonso Herrera;;INHABILITAR
RC;;2055518021;;Silvia Aguilar;;EMBARGAR
NUIP;;2030139305;;Ivan Rios;;INHABILITAR
CE;;2043844049;;Gloria Hernandez;;INHABILITAR
TI;;2098620380;;Alonso Montoya;;EMBARGAR
NUIP;;2084899296;;Roberto Bonilla;;EMBARGAR
CE;;2041600115;;Rodrigo Robledo;;INHABILITAR
CE;;2076846365;;Hernan Herrera;;EMBARGAR
NUIP;;2061674489;;Javier Mendez;;EMBARGAR
NUIP;;2034939500;;Javier Rivera;;INHABILITAR
CE;;2046713606;;Mauricio Garcia;;EMBARGAR
CE;;2061617574;;Roberto Salazar;;EMBARGAR
CC;;2041219278;;Veronica Gallego;;INHABILITAR
TI;;2036431112;;Jorge Montoya;;INHABILITAR
TI;;2096579520;;Alfredo Aguilar;;EMBARGAR
RC;;2066415212;;Patricia Bautista;;INHABILITAR
TI;;2037015091;;Luisa Jimenez;;INHABILITAR
CC;;2077077862;;Veronica Torres;;EMBARGAR
NUIP;;2044827763;;Luis Bautista;;INHABILITAR
NUIP;;2093893647;;Rosa Gutierrez;;EMBARGAR
CE;;2012042223;;Ricardo Moreno;;EMBARGAR
CC;;2061315233;;Gabriela Diaz;;EMBARGAR
RC;;2065992135;;Manuel Ramirez;;EMBARGAR
NUIP;;2096493824;;Luis Castaño;;INHABILITAR
RC;;2031775445;;Liliana Paredes;;INHABILITAR
CC;;2087545483;;Luisa Diaz;;EMBARGAR
NUIP;;2016921243;;Ivan Moreno;;INHABILITAR
RC;;2066737414;;Ricardo Castro;;INHABILITAR
RC;;2056845237;;Mauricio Martinez;;INHABILITAR
TI;;2043698282;;Monica Martinez;;EMBARGAR
TI;;2023979923;;Gabriela Munoz;;INHABILITAR
TI;;2020865895;;Luis Cano;;INHABILITAR
TI;;2062321620;;Monica Cano;;EMBARGAR
NUIP;;2052285955;;Oscar Murillo;;EMBARGAR
RC;;2086215814;;Gloria Diaz;;INHABILITAR
RC;;2027437222;;Mariana Giraldo;;EMBARGAR
CE;;2086395811;;Liliana Castaño;;EMBARGAR
RC;;2048550020;;Carlos Jimenez;;EMBARGAR
TI;;2023954118;;Carlos Fernandez;;EMBARGAR
RC;;2090091835;;Carlos Velasquez;;INHABILITAR
TI;;2095339547;;Cristian Moreno;;EMBARGAR
TI;;2070085657;;Javier Torres;;INHABILITAR
CC;;2067720906;;Carmen Molina;;EMBARGAR
RC;;2080527041;;Ivan Lara;;EMBARGAR
NUIP;;2047728387;;Hector Fernandez;;EMBARGAR
CC;;2071032762;;Diego Ortiz;;EMBARGAR
CC;;2017551795;;Laura Arango;;EMBARGAR
TI;;2057848016;;Tatiana Beltran;;EMBARGAR
CE;;2078246088;;Alicia Jimenez;;INHABILITAR
CC;;2093641289;;Roberto Diaz;;INHABILITAR
CE;;2083665210;;Catalina Quiroz;;INHABILITAR
CE;;2072811822;;Camila Lopez;;INHABILITAR
NUIP;;2042142108;;Monica Lara;;EMBARGAR
CC;;2084252668;;Alonso Aguilar;;EMBARGAR
CE;;2040716023;;Diego Rodriguez;;INHABILITAR
NUIP;;2046350342;;Pedro Rodriguez;;INHABILITAR
TI;;2022290383;;Alicia Lopez;;EMBARGAR
CC;;2097743142;;Alfredo Mejia;;INHABILITAR
RC;;2085778496;;Violeta Salazar;;EMBARGAR
NUIP;;2001769000;;Adriana Acosta;;EMBARGAR
NUIP;;2055579200;;Ivan Herrera;;EMBARGAR
NUIP;;2091329539;;Marta Castro;;INHABILITAR
RC;;2023882300;;Angela Valencia;;EMBARGAR
NUIP;;2070026530;;Luis Quiroz;;INHABILITAR
RC;;2087875718;;Rodrigo Murillo;;INHABILITAR
CE;;2052483082;;Jose Beltran;;EMBARGAR
TI;;2054468534;;Santiago Salazar;;EMBARGAR
CE;;2043414386;;Claudia Velasquez;;EMBARGAR
CE;;2015914959;;Manuel Gallego;;INHABILITAR
TI;;2022101673;;Eduardo Rodriguez;;EMBARGAR
CE;;2004300292;;Juan Franco;;EMBARGAR
CE;;2022697188;;Manuel Rodriguez;;EMBARGAR
TI;;2089133117;;Alicia Vega;;EMBARGAR
CE;;2004041465;;Oscar Rojas;;INHABILITAR
CE;;2091611485;;Claudia Molina;;INHABILITAR
CE;;2068101524;;Patricia Ramirez;;INHABILITAR
NUIP;;2037603802;;Andres Montoya;;INHABILITAR
RC;;2015875641;;Marcela Arias;;EMBARGAR
NUIP;;2066304042;;Rafael Cano;;EMBARGAR
CE;;2046360515;;Alfredo Castro;;INHABILITAR
CC;;2033415358;;Alicia Velasquez;;EMBARGAR
CE;;2037765327;;Tatiana Jimenez;;INHABILITAR
RC;;2032053758;;Felipe Rojas;;INHABILITAR
NUIP;;2095054582;;Luisa Velasquez;;EMBARGAR
TI;;2080433043;;Sebastian Giraldo;;EMBARGAR
NUIP;;2064006723;;Liliana Mendez;;INHABILITAR
CE;;2048990787;;Santiago Mendez;;EMBARGAR
CE;;2081983997;;Valentina Arias;;INHABILITAR
NUIP;;2031391931;;Diana Franco;;EMBARGAR
NUIP;;2029683742;;Sebastian Bonilla;;EMBARGAR
CC;;2017223714;;Patricia Molina;;INHABILITAR
TI;;2042706528;;Miguel Duarte;;INHABILITAR
RC;;2001312990;;Pedro Ospina;;INHABILITAR
NUIP;;2014549884;;Camila Robledo;;EMBARGAR
CE;;2041284054;;Rodrigo Torres;;EMBARGAR
TI;;2046615064;;Felipe Ortiz;;INHABILITAR
RC;;2032750256;;Luis Giraldo;;INHABILITAR
RC;;2012325434;;Manuel Paredes;;INHABILITAR
CE;;2068485641;;Diana Munoz;;EMBARGAR
