tipo_documento;;documento;;nombre_completo;;caracterizacion
RC;;2023577974;;Samuel Zapata;;EMBARGAR
CC;;2073138671;;Paula Castillo;;EMBARGAR
RC;;2040228219;;Roberto Castro;;INHABILITAR
CE;;2047660940;;Tatiana Diaz;;EMBARGAR
RC;;2066555447;;Javier Cardenas;;INHABILITAR
CC;;2073183448;;Luis Jimenez;;INHABILITAR
NUIP;;2016224869;;Hector Zapata;;INHABILITAR
NUIP;;2069278586;;Liliana Ruiz;;EMBARGAR
NUIP;;2070433006;;Gabriela Paredes;;EMBARGAR
CE;;2023706229;;Catalina Mejia;;INHABILITAR
CC;;2024402763;;Luis Acosta;;INHABILITAR
CC;;2001319689;;Valentina Herrera;;INHABILITAR
RC;;2057541058;;Claudia Beltran;;EMBARGAR
CE;;2030962871;;Luis Beltran;;INHABILITAR
RC;;2018008940;;Cesar Ospina;;INHABILITAR
NUIP;;2034439550;;Mauricio Fernandez;;INHABILITAR
RC;;2076967445;;Miguel Mendez;;INHABILITAR
RC;;2089014351;;Roberto Castillo;;EMBARGAR
NUIP;;2073572560;;Veronica Montoya;;INHABILITAR
RC;;2001186438;;Victor Beltran;;INHABILITAR
NUIP;;2046869625;;Pedro Ortiz;;EMBARGAR
CE;;2059430169;;Rodrigo Ruiz;;INHABILITAR
CE;;2011500881;;Raquel Rodriguez;;EMBARGAR
RC;;2079018037;;Camila Fernandez;;EMBARGAR
TI;;2059101191;;Liliana Vega;;EMBARGAR
TI;;2049481868;;Valentina Munoz;;INHABILITAR
NUIP;;2034157238;;Diego Giraldo;;EMBARGAR
CC;;2087887339;;Victor Mendez;;EMBARGAR
CC;;2034998465;;Javier Castillo;;EMBARGAR
TI;;2027033992;;Monica Vargas;;INHABILITAR
CC;;2092244678;;Victor Rivera;;INHABILITAR
CC;;2056811822;;Liliana Castaño;;INHABILITAR
CC;;2024177870;;Esteban Rojas;;INHABILITAR
TI;;2045918070;;Diana Giraldo;;INHABILITAR
CC;;2090285251;;Claudia Zapata;;INHABILITAR
TI;;2073120286;;Laura Ramirez;;INHABILITAR
RC;;2067062716;;Luis Castro;;INHABILITAR
CC;;2076628281;;Roberto Torres;;EMBARGAR
CC;;2065674888;;Ivan Torres;;EMBARGAR
TI;;2073745699;;Paola Rivera;;EMBARGAR
CE;;2048857595;;Alfredo Lara;;INHABILITAR
RC;;2087017823;;Adriana Moreno;;EMBARGAR
NUIP;;2000981075;;Patricia Bautista;;EMBARGAR
CE;;2021516150;;Cesar Montoya;;INHABILITAR
CC;;2007619778;;Marcela Diaz;;EMBARGAR
NUIP;;2000453387;;Gabriel Mendez;;EMBARGAR
RC;;2084868502;;Javier Herrera;;EMBARGAR
CE;;2011085752;;Miguel Torres;;INHABILITAR
CC;;2040935774;;Andres Prieto;;EMBARGAR
TI;;2099976834;;Carmen Robledo;;EMBARGAR
RC;;2023352465;;Jorge Castro;;EMBARGAR
CE;;2026624228;;Catalina Sanchez;;INHABILITAR
NUIP;;2086627768;;Hector Murillo;;EMBARGAR
TI;;2024754056;;Adriana Moreno;;INHABILITAR
CC;;2087795003;;Alonso Acosta;;INHABILITAR
CE;;2060505243;;Tatiana Arango;;INHABILITAR
RC;;2027614816;;Diego Ruiz;;EMBARGAR
RC;;2047451068;;Alicia Moreno;;INHABILITAR
RC;;2060034829;;Gabriela Robledo;;INHABILITAR
CE;;2048940362;;Cesar Beltran;;INHABILITAR
TI;;2042677417;;Patricia Bonilla;;EMBARGAR
RC;;2084226760;;Rafael Cardenas;;EMBARGAR
NUIP;;2010940573;;Javier Montoya;;INHABILITAR
NUIP;;2034639440;;Luis Arias;;EMBARGAR
CE;;2012785171;;Lucrecia Fernandez;;EMBARGAR
CC;;2079068277;;Catalina Cabrera;;INHABILITAR
CC;;2068486202;;Diana Torres;;EMBARGAR
CC;;2079985927;;Rodrigo Duarte;;INHABILITAR
NUIP;;2034371475;;Teresa Rojas;;EMBARGAR
CE;;2010713245;;Camila Vega;;EMBARGAR
RC;;2056108560;;Gabriela Hernandez;;INHABILITAR
RC;;2036858657;;Rafael Moreno;;INHABILITAR
TI;;2099447738;;Victor Montoya;;INHABILITAR
RC;;2032177105;;Jose Lopez;;INHABILITAR
TI;;2015683000;;Camila Cardenas;;INHABILITAR
CE;;2054137474;;Teresa Castro;;EMBARGAR
CE;;2071357526;;Diana Prieto;;INHABILITAR
NUIP;;2069484611;;Tatiana Mendez;;INHABILITAR
CC;;2002252845;;Laura Lopez;;EMBARGAR
CE;;2018608829;;Felipe Cano;;INHABILITAR
RC;;2011828734;;Cesar Velasquez;;EMBARGAR
CE;;2036531822;;Santiago Diaz;;EMBARGAR
TI;;2075427556;;Luis Duarte;;INHABILITAR
CE;;2052889918;;Laura Castaño;;EMBARGAR
CE;;2090334235;;Catalina Bautista;;EMBARGAR
CC;;2057740347;;Rodrigo Garcia;;EMBARGAR
TI;;2068319029;;Luis Montoya;;EMBARGAR
CC;;2040116230;;Oscar Castro;;EMBARGAR
TI;;2010381793;;Valentina Acosta;;INHABILITAR
TI;;2045725533;;Ricardo Lopez;;INHABILITAR
RC;;2029493040;;Diana Garcia;;EMBARGAR
NUIP;;2049590291;;Mariana Castro;;INHABILITAR
RC;;2055193822;;Ricardo Mejia;;EMBARGAR
RC;;2003108707;;Santiago Cardenas;;EMBARGAR
CC;;2004888986;;Oscar Rodriguez;;INHABILITAR
CE;;2018232028;;Miguel Robledo;;EMBARGAR
CC;;2038556483;;Rafael Lara;;EMBARGAR
CE;;2006761861;;Alfredo Castro;;EMBARGAR
CE;;2014182400;;Andres Cano;;EMBARGAR
CE;;2029372679;;Felipe Torres;;EMBARGAR
