tipo_documento;;documento;;nombre_completo;;caracterizacion
NUIP;;2086929969;;Diego Ortiz;;INHABILITAR
RC;;2016334583;;Gloria Giraldo;;EMBARGAR
CC;;2096503096;;Camila Rivera;;INHABILITAR
CC;;2020890426;;Luisa Franco;;INHABILITAR
NUIP;;2007609910;;Hernan Rios;;INHABILITAR
NUIP;;2034327036;;Ricardo Mejia;;INHABILITAR
NUIP;;2061649093;;Tatiana Castillo;;INHABILITAR
RC;;2000414716;;Luisa Garcia;;EMBARGAR
TI;;2000111414;;Andres Montoya;;INHABILITAR
NUIP;;2090733058;;Carlos Rojas;;EMBARGAR
CE;;2001757393;;Santiago Acosta;;INHABILITAR
NUIP;;2029835600;;Sebastian Salazar;;EMBARGAR
CC;;2041688412;;Sandra Molina;;EMBARGAR
NUIP;;2040015802;;Luisa Ospina;;EMBARGAR
CC;;2043026467;;Carmen Castillo;;INHABILITAR
NUIP;;2038938256;;Victor Torres;;EMBARGAR
CC;;2093000961;;Felipe Castro;;INHABILITAR
CE;;2072915173;;Liliana Hernandez;;INHABILITAR
TI;;2068349533;;Valentina Cano;;EMBARGAR
NUIP;;2009528703;;Andres Hernandez;;EMBARGAR
NUIP;;2063700202;;Oscar Gomez;;INHABILITAR
CC;;2033729107;;Juan Jaramillo;;EMBARGAR
RC;;2096057577;;Alfredo Robledo;;EMBARGAR
NUIP;;2083350538;;Javier Gutierrez;;EMBARGAR
CC;;2021109064;;Alfredo Ramirez;;INHABILITAR
CC;;2051707395;;Cristian Torres;;INHABILITAR
TI;;2074620687;;Rafael Zapata;;EMBARGAR
RC;;2059554014;;Adriana Gallego;;INHABILITAR
NUIP;;2080902399;;Ivan Ruiz;;INHABILITAR
NUIP;;2039435845;;Marta Rios;;INHABILITAR
TI;;2018629237;;Luisa Molina;;EMBARGAR
TI;;2076680336;;Lucrecia Lopez;;INHABILITAR
RC;;2022984888;;Paola Ramirez;;EMBARGAR
CE;;2021072598;;Violeta Vega;;INHABILITAR
TI;;2064180321;;Sandra Ramirez;;EMBARGAR
TI;;2053900658;;Liliana Jaramillo;;EMBARGAR
NUIP;;2025962143;;Raquel Herrera;;INHABILITAR
NUIP;;2071068664;;Alicia Castro;;EMBARGAR
RC;;2070731654;;Nathalia Salazar;;EMBARGAR
CE;;2079294364;;Gabriela Moreno;;EMBARGAR
RC;;2034685737;;Claudia Montoya;;EMBARGAR
CC;;2035679027;;Angela Bautista;;EMBARGAR
CC;;2018668915;;Jorge Arango;;INHABILITAR
CE;;2031832280;;Jorge Ruiz;;INHABILITAR
NUIP;;2057446360;;Valentina Prieto;;INHABILITAR
TI;;2039144102;;Valentina Molina;;EMBARGAR
NUIP;;2097211410;;Carmen Gallego;;INHABILITAR
CE;;2019277644;;Patricia Ramirez;;EMBARGAR
TI;;2057072876;;Diego Montoya;;EMBARGAR
TI;;2090470870;;Hernan Murillo;;EMBARGAR
CE;;2002344614;;Luis Rodriguez;;EMBARGAR
NUIP;;2098424949;;Veronica Arias;;INHABILITAR
RC;;2024418392;;Luis Rios;;EMBARGAR
RC;;2015593168;;Liliana Vega;;EMBARGAR
RC;;2083215336;;Gustavo Torres;;EMBARGAR
CC;;2051016951;;Marcela Munoz;;EMBARGAR
CC;;2087296382;;Juan Ortiz;;EMBARGAR
RC;;2052317664;;Nathalia Montoya;;INHABILITAR
CE;;2070391991;;Samuel Salazar;;INHABILITAR
CC;;2041403987;;Julia Rodriguez;;EMBARGAR
CC;;2005897969;;Gabriela Moreno;;EMBARGAR
CC;;2096723427;;Pedro Paredes;;INHABILITAR
