tipo_documento;;documento;;nombre_completo;;caracterizacion
CE;;2059773639;;Paula Moreno;;INHABILITAR
RC;;2002071508;;Marta Fernandez;;INHABILITAR
NUIP;;2022689807;;Valentina Bonilla;;EMBARGAR
CC;;2083094805;;Liliana Torres;;EMBARGAR
NUIP;;2081872505;;Jose Vega;;EMBARGAR
CE;;2043898109;;Tatiana Fernandez;;INHABILITAR
CC;;2090620378;;Raquel Cabrera;;INHABILITAR
TI;;2022070506;;Raquel Velasquez;;INHABILITAR
RC;;2004900017;;Sandra Cabrera;;INHABILITAR
NUIP;;2093984233;;Andres Ospina;;EMBARGAR
CC;;2072022236;;Oscar Castro;;EMBARGAR
TI;;2001835950;;Luis Quiroz;;EMBARGAR
NUIP;;2096145863;;Lorena Castro;;INHABILITAR
TI;;2001470399;;Rosa Franco;;INHABILITAR
CE;;2019261814;;Hector Torres;;EMBARGAR
RC;;2093382724;;Santiago Gutierrez;;INHABILITAR
RC;;2066146259;;Camila Lara;;EMBARGAR
CC;;2097270618;;Ivan Moreno;;EMBARGAR
RC;;2032080321;;Gabriel Sanchez;;INHABILITAR
RC;;2011451384;;Gabriela Martinez;;INHABILITAR
CC;;2097468726;;Nathalia Quiroz;;INHABILITAR
CE;;2030745491;;Lucrecia Murillo;;INHABILITAR
CC;;2002289607;;Ricardo Moreno;;INHABILITAR
CE;;2051781530;;Teresa Gallego;;INHABILITAR
CE;;2038764033;;Felipe Cano;;EMBARGAR
CE;;2057384344;;Felipe Ospina;;INHABILITAR
RC;;2073143538;;Valentina Salazar;;EMBARGAR
CC;;2033773100;;Carlos Zapata;;EMBARGAR
CE;;2085532998;;Luisa Moreno;;EMBARGAR
TI;;2068454558;;Silvia Bonilla;;INHABILITAR
CC;;2024182066;;Felipe Ramirez;;EMBARGAR
TI;;2012905911;;Ivan Franco;;INHABILITAR
NUIP;;2001169452;;Marta Salazar;;EMBARGAR
TI;;2065518616;;Claudia Moreno;;INHABILITAR
TI;;2009117015;;Luisa Rios;;INHABILITAR
CE;;2012814499;;Felipe Robledo;;INHABILITAR
NUIP;;2069765278;;Marcela Acosta;;INHABILITAR
CE;;2019119694;;Ana Paredes;;INHABILITAR
CE;;2006093857;;Andres Rios;;EMBARGAR
RC;;2050706874;;Laura Robledo;;INHABILITAR
CE;;2002894551;;Javier Gallego;;EMBARGAR
CC;;2020361074;;Hernan Jaramillo;;INHABILITAR
TI;;2074762329;;Javier Montoya;;INHABILITAR
NUIP;;2062955073;;Carlos Molina;;INHABILITAR
NUIP;;2067618346;;Rosa Molina;;INHABILITAR
NUIP;;2046266416;;Jorge Moreno;;INHABILITAR
NUIP;;2013891975;;Camila Ruiz;;EMBARGAR
CC;;2095179787;;Gabriela Aguilar;;EMBARGAR
RC;;2022282141;;Jose Mendez;;EMBARGAR
CE;;2081450547;;Rodrigo Castro;;INHABILITAR
NUIP;;2069337012;;Laura Diaz;;INHABILITAR
NUIP;;2046347843;;Pedro Vega;;EMBARGAR
RC;;2002862792;;Valentina Rivera;;EMBARGAR
RC;;2095901858;;Sebastian Montoya;;EMBARGAR
CC;;2019005267;;Cristian Velasquez;;EMBARGAR
NUIP;;2067577758;;Andres Giraldo;;INHABILITAR
CE;;2074365868;;Carmen Salazar;;EMBARGAR
CE;;2095803952;;Liliana Aguilar;;INHABILITAR
CC;;2063826446;;Teresa Torres;;INHABILITAR
NUIP;;2046057736;;Ivan Sanchez;;INHABILITAR
CE;;2093479271;;Teresa Castro;;EMBARGAR
CE;;2041509985;;Jorge Torres;;INHABILITAR
NUIP;;2067899571;;Jorge Salazar;;INHABILITAR
CC;;2002670100;;Beatriz Zapata;;EMBARGAR
CC;;2040209309;;Oscar Robledo;;INHABILITAR
RC;;2020520386;;Jose Mendez;;EMBARGAR
CE;;2023838648;;Felipe Beltran;;INHABILITAR
NUIP;;2035310776;;Alfredo Ortiz;;EMBARGAR
TI;;2010533145;;Angela Gomez;;EMBARGAR
RC;;2016130003;;Lucrecia Fernandez;;INHABILITAR
TI;;2057198556;;Rodrigo Vega;;INHABILITAR
RC;;2089299869;;Lucrecia Montoya;;EMBARGAR
NUIP;;2063974268;;Gloria Prieto;;EMBARGAR
NUIP;;2083213777;;Gabriela Torres;;EMBARGAR
TI;;2082783766;;Javier Castro;;INHABILITAR
TI;;2056767028;;Angela Ruiz;;INHABILITAR
NUIP;;2051500322;;Rosa Castro;;INHABILITAR
TI;;2066268229;;Ana Ortiz;;EMBARGAR
RC;;2071185714;;Alonso Duarte;;EMBARGAR
TI;;2022656160;;Pedro Ramirez;;INHABILITAR
CC;;2000872310;;Gabriel Moreno;;INHABILITAR
CC;;2073144259;;Luis Fernandez;;EMBARGAR
CE;;2017977937;;Rodrigo Hernandez;;INHABILITAR
CC;;2022232437;;Marcela Lopez;;EMBARGAR
TI;;2056844997;;Manuel Franco;;EMBARGAR
RC;;2041134368;;Beatriz Salazar;;EMBARGAR
RC;;2081509501;;Alonso Velasquez;;INHABILITAR
TI;;2024611202;;Raquel Ospina;;EMBARGAR
NUIP;;2004335445;;Luisa Salazar;;EMBARGAR
CC;;2006476627;;Adriana Gallego;;INHABILITAR
CC;;2051256525;;Mauricio Gallego;;EMBARGAR
CC;;2027674961;;Andres Rodriguez;;EMBARGAR
CE;;2080562797;;Valentina Rodriguez;;INHABILITAR
RC;;2005504095;;Marta Bonilla;;INHABILITAR
CC;;2018534920;;Veronica Diaz;;INHABILITAR
RC;;2018783627;;Diana Ospina;;INHABILITAR
CC;;2004529924;;Luisa Ramirez;;INHABILITAR
CC;;2062743078;;Beatriz Beltran;;INHABILITAR
RC;;2096563124;;Violeta Franco;;INHABILITAR
CC;;2049815974;;Felipe Beltran;;EMBARGAR
