tipo_documento;;documento;;nombre_completo;;caracterizacion
NUIP;;2045444407;;Jorge Franco;;INHABILITAR
TI;;2023062479;;Andres Sanchez;;EMBARGAR
NUIP;;2026153877;;Pedro Castro;;INHABILITAR
TI;;2006355521;;Ricardo Ramirez;;EMBARGAR
NUIP;;2021931733;;Felipe Vega;;INHABILITAR
NUIP;;2067269125;;Beatriz Prieto;;EMBARGAR
CE;;2031857919;;Mariana Mejia;;INHABILITAR
NUIP;;2050283113;;Beatriz Cardenas;;EMBARGAR
TI;;2075790935;;Paula Torres;;INHABILITAR
RC;;2080832890;;Sandra Sanchez;;EMBARGAR
NUIP;;2005799124;;Oscar Salazar;;EMBARGAR
NUIP;;2052394257;;Luis Cardenas;;INHABILITAR
RC;;2069352544;;Gloria Velasquez;;EMBARGAR
NUIP;;2016529805;;Javier Ruiz;;INHABILITAR
RC;;2003822113;;Adriana Ortiz;;INHABILITAR
TI;;2024620241;;Lorena Gallego;;EMBARGAR
CE;;2087057914;;Catalina Giraldo;;EMBARGAR
TI;;2081118553;;Julia Moreno;;INHABILITAR
RC;;2000576733;;Angela Ruiz;;INHABILITAR
NUIP;;2072269441;;Gloria Cano;;INHABILITAR
CC;;2068282950;;Luisa Salazar;;EMBARGAR
TI;;2041124673;;Violeta Sanchez;;EMBARGAR
NUIP;;2026302969;;Veronica Ruiz;;EMBARGAR
CC;;2026781221;;Diana Ortiz;;EMBARGAR
NUIP;;2096499895;;Monica Rojas;;EMBARGAR
RC;;2031700031;;Ivan Hernandez;;INHABILITAR
RC;;2060759478;;Manuel Acosta;;INHABILITAR
TI;;2010289138;;Felipe Gutierrez;;EMBARGAR
TI;;2072647057;;Carlos Jimenez;;EMBARGAR
NUIP;;2036934160;;Rodrigo Giraldo;;INHABILITAR
CE;;2014583889;;Valentina Moreno;;INHABILITAR
NUIP;;2031061893;;Rafael Herrera;;INHABILITAR
CE;;2097500018;;Alonso Vega;;INHABILITAR
CC;;2070830693;;Tatiana Duarte;;EMBARGAR
CC;;2062720260;;Liliana Montoya;;EMBARGAR
CE;;2093437482;;Jose Gallego;;INHABILITAR
TI;;2027992396;;Laura Rios;;INHABILITAR
CE;;2095441411;;Ricardo Torres;;INHABILITAR
NUIP;;2027641528;;Ana Valencia;;EMBARGAR
CE;;2077409822;;Fernando Castro;;INHABILITAR
CC;;2052735554;;Hector Cano;;INHABILITAR
CC;;2099080312;;Manuel Cabrera;;EMBARGAR
CE;;2023283532;;Pedro Arias;;INHABILITAR
RC;;2016653936;;Paula Ruiz;;EMBARGAR
CC;;2034162246;;Paula Ortiz;;EMBARGAR
RC;;2058046712;;Lucrecia Hernandez;;INHABILITAR
CC;;2099452343;;Violeta Ramirez;;INHABILITAR
NUIP;;2083248784;;Nathalia Torres;;EMBARGAR
CC;;2090753729;;Cesar Ortiz;;INHABILITAR
NUIP;;2005604217;;Ricardo Gomez;;EMBARGAR
RC;;2049202593;;Cristian Rojas;;EMBARGAR
RC;;2043382437;;Raquel Castillo;;INHABILITAR
CE;;2002105836;;Diana Ospina;;INHABILITAR
CC;;2006408364;;Santiago Rios;;INHABILITAR
RC;;2058998870;;Marta Aguilar;;EMBARGAR
NUIP;;2093822907;;Pedro Bautista;;EMBARGAR
NUIP;;2079556011;;Beatriz Herrera;;EMBARGAR
RC;;2012386238;;Camila Rodriguez;;EMBARGAR
TI;;2039664048;;Luisa Cabrera;;EMBARGAR
CE;;2005572167;;Ivan Velasquez;;EMBARGAR
CE;;2009240584;;Lucrecia Castillo;;INHABILITAR
TI;;2041375630;;Cristian Mejia;;INHABILITAR
TI;;2011384896;;Santiago Gomez;;EMBARGAR
CC;;2031762865;;Angela Diaz;;EMBARGAR
RC;;2042265378;;Eduardo Zapata;;INHABILITAR
TI;;2098895615;;Esteban Lopez;;INHABILITAR
RC;;2073481871;;Rafael Duarte;;EMBARGAR
TI;;2023466763;;Laura Quiroz;;INHABILITAR
TI;;2031565082;;Veronica Montoya;;INHABILITAR
RC;;2051374361;;Marcela Lopez;;INHABILITAR
RC;;2001529843;;Nathalia Gallego;;INHABILITAR
CE;;2060972618;;Liliana Velasquez;;INHABILITAR
TI;;2006153360;;Felipe Cabrera;;EMBARGAR
RC;;2071374448;;Julia Giraldo;;INHABILITAR
CE;;2050969311;;Claudia Robledo;;INHABILITAR
TI;;2027626585;;Cesar Montoya;;EMBARGAR
CE;;2021710526;;Esteban Molina;;EMBARGAR
RC;;2055204029;;Marcela Zapata;;INHABILITAR
CC;;2099119046;;Manuel Duarte;;INHABILITAR
TI;;2042485862;;Esteban Sanchez;;INHABILITAR
CE;;2093322857;;Angela Salazar;;INHABILITAR
CE;;2076542941;;Andres Gallego;;EMBARGAR
CE;;2047343546;;Ana Rodriguez;;EMBARGAR
TI;;2065440820;;Ricardo Torres;;EMBARGAR
RC;;2074524434;;Miguel Jaramillo;;INHABILITAR
TI;;2082530874;;Beatriz Ramirez;;EMBARGAR
TI;;2034718830;;Alonso Gallego;;EMBARGAR
CE;;2004741890;;Camila Castro;;INHABILITAR
TI;;2097098429;;Camila Ruiz;;EMBARGAR
TI;;2041630163;;Gabriela Rivera;;INHABILITAR
NUIP;;2047651006;;Rosa Rivera;;INHABILITAR
RC;;2083125744;;Gabriel Gomez;;INHABILITAR
TI;;2056655131;;Jorge Vargas;;INHABILITAR
NUIP;;2057192988;;Marta Zapata;;INHABILITAR
RC;;2052166863;;Samuel Castaño;;INHABILITAR
RC;;2050246316;;Hector Vargas;;INHABILITAR
TI;;2044843686;;Patricia Arango;;INHABILITAR
TI;;2093732694;;Rosa Lopez;;EMBARGAR
CE;;2047665964;;Alonso Herrera;;EMBARGAR
NUIP;;2011101382;;Pedro Torres;;INHABILITAR
