tipo_documento;;documento;;nombre_completo;;caracterizacion
NUIP;;2037573309;;Claudia Ramirez;;INHABILITAR
TI;;2064877718;;Laura Paredes;;EMBARGAR
NUIP;;2041391254;;Rafael Cardenas;;EMBARGAR
TI;;2091882099;;Gloria Diaz;;INHABILITAR
CC;;2057039110;;Luis Ospina;;INHABILITAR
TI;;2003014116;;Felipe Ortiz;;INHABILITAR
RC;;2071401184;;Samuel Munoz;;EMBARGAR
RC;;2027278242;;Angela Arango;;EMBARGAR
NUIP;;2076994335;;Sebastian Jaramillo;;EMBARGAR
RC;;2016990749;;Gabriel Diaz;;INHABILITAR
CE;;2090400431;;Paula Gallego;;INHABILITAR
CC;;2013682121;;Alfredo Montoya;;INHABILITAR
NUIP;;2057411352;;Alicia Moreno;;INHABILITAR
NUIP;;2033149936;;Tatiana Velasquez;;EMBARGAR
RC;;2087632867;;Ricardo Torres;;INHABILITAR
RC;;2094835316;;Victor Paredes;;EMBARGAR
TI;;2083007030;;Hector Moreno;;INHABILITAR
RC;;2033983214;;Cesar Valencia;;INHABILITAR
NUIP;;2093597436;;Hector Rojas;;INHABILITAR
RC;;2088302344;;Jose Giraldo;;EMBARGAR
TI;;2000723856;;Victor Cano;;EMBARGAR
NUIP;;2029623716;;Juan Valencia;;EMBARGAR
CE;;2090084976;;Paula Bautista;;EMBARGAR
CE;;2004707025;;Marcela Gallego;;EMBARGAR
RC;;2053490005;;Ivan Cano;;INHABILITAR
NUIP;;2096952956;;Ivan Moreno;;INHABILITAR
CC;;2052379629;;Rodrigo Castro;;EMBARGAR
CE;;2016352692;;Ricardo Montoya;;EMBARGAR
NUIP;;2061388945;;Javier Torres;;EMBARGAR
TI;;2066246117;;Raquel Gallego;;EMBARGAR
TI;;2068391567;;Angela Murillo;;EMBARGAR
TI;;2089188819;;Camila Jaramillo;;EMBARGAR
TI;;2003059965;;Sandra Ospina;;INHABILITAR
RC;;2026957262;;Diana Acosta;;INHABILITAR
NUIP;;2066311575;;Roberto Cano;;EMBARGAR
TI;;2077190525;;Lucrecia Fernandez;;INHABILITAR
NUIP;;2057522505;;Claudia Mejia;;INHABILITAR
CE;;2091938940;;Luis Sanchez;;INHABILITAR
RC;;2066214475;;Paola Moreno;;EMBARGAR
CC;;2035007579;;Marta Zapata;;EMBARGAR
NUIP;;2082444230;;Sandra Molina;;INHABILITAR
NUIP;;2039824828;;Paola Gomez;;INHABILITAR
RC;;2079923628;;Ricardo Castillo;;EMBARGAR
CC;;2041463389;;Hernan Prieto;;INHABILITAR
RC;;2072074607;;Lucrecia Ramirez;;INHABILITAR
CC;;2041911716;;Felipe Velasquez;;INHABILITAR
CE;;2019314860;;Marta Velasquez;;INHABILITAR
CE;;2073185273;;Tatiana Ruiz;;EMBARGAR
CE;;2003300368;;Roberto Ospina;;INHABILITAR
CE;;2091650969;;Victor Valencia;;EMBARGAR
TI;;2003991684;;Tatiana Arango;;EMBARGAR
RC;;2063766577;;Gabriela Jaramillo;;INHABILITAR
TI;;2089406460;;Gabriel Ortiz;;INHABILITAR
CC;;2036832776;;Beatriz Torres;;INHABILITAR
CC;;2086186452;;Roberto Rodriguez;;INHABILITAR
CE;;2042574133;;Jorge Munoz;;INHABILITAR
TI;;2044807722;;Hector Moreno;;INHABILITAR
NUIP;;2017628030;;Patricia Ortiz;;INHABILITAR
CC;;2053084789;;Gustavo Molina;;INHABILITAR
CE;;2022314697;;Fernando Herrera;;INHABILITAR
RC;;2081668926;;Veronica Moreno;;EMBARGAR
TI;;2031946766;;Marcela Cabrera;;INHABILITAR
NUIP;;2082567618;;Alonso Beltran;;INHABILITAR
CC;;2092342603;;Teresa Lopez;;EMBARGAR
CC;;2057001844;;Gloria Castro;;EMBARGAR
RC;;2040114355;;Andres Lara;;INHABILITAR
NUIP;;2001930584;;Veronica Moreno;;EMBARGAR
CC;;2094153195;;Adriana Mejia;;EMBARGAR
TI;;2015798543;;Cristian Beltran;;EMBARGAR
