tipo_documento;;documento;;nombre_completo;;caracterizacion
TI;;2006688843;;Andres Rojas;;INHABILITAR
CC;;2059220902;;Ricardo Bautista;;EMBARGAR
CC;;2071223411;;Miguel Gallego;;EMBARGAR
NUIP;;2000977499;;Paola Montoya;;EMBARGAR
NUIP;;2034372999;;Nathalia Cano;;EMBARGAR
RC;;2013325127;;Rafael Ramirez;;INHABILITAR
TI;;2073180976;;Victor Castillo;;EMBARGAR
TI;;2061508518;;Angela Herrera;;INHABILITAR
CE;;2073157901;;Ricardo Castro;;EMBARGAR
CE;;2029102341;;Marta Ruiz;;EMBARGAR
NUIP;;2063106934;;Lucrecia Mejia;;EMBARGAR
NUIP;;2009967160;;Silvia Lara;;INHABILITAR
CE;;2056555956;;Paula Lopez;;EMBARGAR
NUIP;;2081019768;;Ivan Mejia;;INHABILITAR
RC;;2020248824;;Rafael Torres;;EMBARGAR
CC;;2090700127;;Juan Castaño;;EMBARGAR
NUIP;;2056002161;;Sandra Lopez;;INHABILITAR
TI;;2053354757;;Alonso Ortiz;;EMBARGAR
CC;;2044508146;;Hector Vargas;;INHABILITAR
TI;;2007848563;;Jorge Rios;;INHABILITAR
RC;;2095633363;;Juan Franco;;INHABILITAR
NUIP;;2030673331;;Sandra Lara;;INHABILITAR
NUIP;;2069323137;;Liliana Ramirez;;INHABILITAR
NUIP;;2064542065;;Mariana Arias;;EMBARGAR
CE;;2044786257;;Carlos Rojas;;INHABILITAR
CE;;2063067520;;Manuel Velasquez;;EMBARGAR
CE;;2061592532;;Jose Castro;;EMBARGAR
CC;;2055929938;;Jorge Torres;;INHABILITAR
CE;;2072438395;;Veronica Vega;;EMBARGAR
NUIP;;2044353549;;Carmen Jimenez;;INHABILITAR
NUIP;;2048477830;;Monica Moreno;;INHABILITAR
CE;;2086371371;;Luis Ruiz;;INHABILITAR
CE;;2072482313;;Juan Cano;;INHABILITAR
CE;;2049241569;;Hector Ospina;;INHABILITAR
TI;;2067218103;;Raquel Sanchez;;EMBARGAR
CC;;2019074616;;Sebastian Herrera;;EMBARGAR
CE;;2033395461;;Paula Velasquez;;INHABILITAR
TI;;2006540927;;Rosa Prieto;;EMBARGAR
RC;;2024309058;;Teresa Rios;;INHABILITAR
NUIP;;2003264258;;Cesar Arango;;EMBARGAR
CC;;2037983349;;Santiago Valencia;;INHABILITAR
NUIP;;2024878150;;Mauricio Molina;;EMBARGAR
CC;;2013618128;;Silvia Vargas;;EMBARGAR
NUIP;;2091681897;;Patricia Hernandez;;INHABILITAR
TI;;2064884986;;Hernan Rivera;;INHABILITAR
TI;;2085211177;;Hernan Zapata;;EMBARGAR
CC;;2011813849;;Ricardo Lara;;EMBARGAR
RC;;2072941629;;Cesar Ortiz;;EMBARGAR
CC;;2021294456;;Claudia Torres;;INHABILITAR
TI;;2032874588;;Sandra Salazar;;EMBARGAR
TI;;2035562698;;Sebastian Velasquez;;EMBARGAR
CC;;2096452126;;Violeta Lopez;;EMBARGAR
CC;;2017962611;;Sandra Giraldo;;INHABILITAR
RC;;2063679239;;Valentina Moreno;;INHABILITAR
NUIP;;2052686753;;Diego Arias;;EMBARGAR
NUIP;;2075422296;;Hernan Lara;;EMBARGAR
TI;;2052570893;;Veronica Martinez;;INHABILITAR
NUIP;;2093687000;;Santiago Castillo;;INHABILITAR
CE;;2011299426;;Tatiana Franco;;EMBARGAR
CC;;2038643588;;Alonso Rivera;;EMBARGAR
RC;;2034239554;;Diego Hernandez;;INHABILITAR
RC;;2012694957;;Jose Castro;;EMBARGAR
CC;;2001423219;;Diana Mendez;;INHABILITAR
CC;;2087978511;;Camila Giraldo;;INHABILITAR
TI;;2022977996;;Lucrecia Montoya;;EMBARGAR
RC;;2017199620;;Miguel Salazar;;EMBARGAR
TI;;2005904752;;Javier Arias;;INHABILITAR
CC;;2065475508;;Monica Velasquez;;EMBARGAR
CC;;2087012850;;Diana Rivera;;INHABILITAR
NUIP;;2076711151;;Liliana Robledo;;INHABILITAR
CC;;2047020096;;Ivan Rivera;;EMBARGAR
CE;;2099152744;;Patricia Castro;;EMBARGAR
CE;;2042732951;;Diana Herrera;;INHABILITAR
CC;;2044302716;;Rosa Munoz;;INHABILITAR
CE;;2097990569;;Patricia Valencia;;INHABILITAR
RC;;2040878027;;Nathalia Cardenas;;INHABILITAR
NUIP;;2087603151;;Julia Martinez;;EMBARGAR
NUIP;;2092398455;;Javier Quiroz;;INHABILITAR
NUIP;;2004470100;;Liliana Duarte;;INHABILITAR
CC;;2072222978;;Angela Ruiz;;INHABILITAR
CE;;2090628781;;Fernando Lopez;;INHABILITAR
CC;;2071817857;;Lucrecia Castaño;;INHABILITAR
RC;;2093643953;;Javier Martinez;;EMBARGAR
TI;;2068387639;;Alicia Garcia;;EMBARGAR
RC;;2028019370;;Gabriela Herrera;;INHABILITAR
RC;;2049963870;;Silvia Cano;;INHABILITAR
CC;;2006521275;;Carmen Ramirez;;INHABILITAR
CE;;2054890806;;Laura Cano;;EMBARGAR
NUIP;;2094233110;;Juan Giraldo;;INHABILITAR
NUIP;;2091615942;;Gloria Montoya;;EMBARGAR
CC;;2056919525;;Mariana Robledo;;INHABILITAR
CE;;2088563619;;Juan Molina;;INHABILITAR
CE;;2094406320;;Catalina Cano;;INHABILITAR
TI;;2030551191;;Laura Rodriguez;;INHABILITAR
