tipo_documento;;documento;;nombre_completo;;caracterizacion
RC;;2063838786;;Violeta Montoya;;EMBARGAR
NUIP;;2049204419;;Lorena Hernandez;;INHABILITAR
CE;;2058563599;;Alonso Garcia;;INHABILITAR
NUIP;;2027925617;;Diego Beltran;;INHABILITAR
TI;;2043076215;;Angela Jimenez;;EMBARGAR
NUIP;;2008284109;;Alonso Ospina;;EMBARGAR
CC;;2089719506;;Hernan Molina;;INHABILITAR
CE;;2083858315;;Julia Castro;;INHABILITAR
NUIP;;2045999624;;Gabriela Lopez;;EMBARGAR
CE;;2016951536;;Mauricio Paredes;;INHABILITAR
NUIP;;2084267068;;Esteban Franco;;EMBARGAR
RC;;2078148812;;Raquel Ramirez;;EMBARGAR
RC;;2031195951;;Fernando Garcia;;INHABILITAR
TI;;2015334306;;Ricardo Bautista;;INHABILITAR
CE;;2049562084;;Gabriel Salazar;;EMBARGAR
NUIP;;2080981952;;Esteban Castro;;INHABILITAR
TI;;2094242805;;Liliana Jaramillo;;INHABILITAR
CE;;2031336157;;Carlos Jaramillo;;EMBARGAR
NUIP;;2058526037;;Carmen Herrera;;EMBARGAR
NUIP;;2088706038;;Ana Hernandez;;INHABILITAR
TI;;2030854652;;Hector Fernandez;;INHABILITAR
CC;;2057591625;;Andres Arango;;EMBARGAR
TI;;2002759753;;Roberto Moreno;;EMBARGAR
NUIP;;2031508471;;Patricia Zapata;;INHABILITAR
RC;;2000539735;;Paola Ramirez;;EMBARGAR
TI;;2049474682;;Carlos Salazar;;EMBARGAR
CE;;2066808804;;Victor Castro;;INHABILITAR
CE;;2069645661;;Oscar Torres;;INHABILITAR
CE;;2039868369;;Ivan Aguilar;;EMBARGAR
CC;;2024904704;;Ana Vega;;INHABILITAR
CC;;2021095408;;Carlos Torres;;INHABILITAR
RC;;2016933233;;Marta Ortiz;;INHABILITAR
TI;;2055078581;;Andres Herrera;;EMBARGAR
NUIP;;2082568936;;Hernan Vega;;EMBARGAR
CC;;2056483703;;Valentina Salazar;;EMBARGAR
NUIP;;2052303548;;Lucrecia Vega;;EMBARGAR
RC;;2033926602;;Fernando Torres;;INHABILITAR
NUIP;;2028599885;;Mauricio Hernandez;;EMBARGAR
NUIP;;2030588562;;Manuel Gutierrez;;INHABILITAR
TI;;2082735320;;Alonso Torres;;EMBARGAR
CC;;2032158121;;Jorge Rios;;INHABILITAR
NUIP;;2068435149;;Raquel Arango;;EMBARGAR
CE;;2069307114;;Roberto Moreno;;INHABILITAR
RC;;2060465783;;Liliana Cano;;EMBARGAR
RC;;2014886833;;Luis Murillo;;EMBARGAR
RC;;2021977092;;Sandra Vega;;EMBARGAR
CE;;2043195792;;Rosa Ruiz;;INHABILITAR
RC;;2005652987;;Gustavo Moreno;;INHABILITAR
RC;;2047010273;;Ricardo Gutierrez;;INHABILITAR
CC;;2014863319;;Manuel Cano;;EMBARGAR
CC;;2059360255;;Alonso Rivera;;INHABILITAR
TI;;2089837005;;Paula Franco;;INHABILITAR
NUIP;;2002867621;;Cristian Gutierrez;;INHABILITAR
CE;;2044619314;;Pedro Gallego;;INHABILITAR
CC;;2005766185;;Santiago Cardenas;;EMBARGAR
TI;;2035691969;;Felipe Ramirez;;INHABILITAR
CE;;2078591009;;Silvia Franco;;INHABILITAR
CE;;2000368832;;Liliana Robledo;;EMBARGAR
RC;;2066868265;;Felipe Valencia;;INHABILITAR
TI;;2024707330;;Valentina Diaz;;EMBARGAR
CE;;2078694718;;Veronica Vega;;EMBARGAR
RC;;2067290548;;Diana Acosta;;EMBARGAR
CE;;2006998195;;Jose Rojas;;INHABILITAR
TI;;2000032784;;Claudia Gomez;;INHABILITAR
CC;;2042155316;;Rafael Robledo;;EMBARGAR
TI;;2081544870;;Miguel Paredes;;INHABILITAR
CE;;2038392869;;Liliana Gomez;;INHABILITAR
CE;;2012232664;;Rodrigo Montoya;;INHABILITAR
RC;;2050582795;;Felipe Mejia;;INHABILITAR
NUIP;;2053083929;;Cristian Herrera;;INHABILITAR
RC;;2053647571;;Manuel Lopez;;EMBARGAR
CC;;2064579213;;Esteban Acosta;;INHABILITAR
RC;;2031524886;;Valentina Murillo;;EMBARGAR
RC;;2015865999;;Mariana Rios;;INHABILITAR
CE;;2033498601;;Roberto Molina;;EMBARGAR
CE;;2069349652;;Liliana Robledo;;EMBARGAR
CC;;2061158869;;Marcela Moreno;;INHABILITAR
CE;;2010446308;;Rosa Lopez;;INHABILITAR
RC;;2069919232;;Luis Prieto;;EMBARGAR
CC;;2083811336;;Ricardo Jimenez;;INHABILITAR
NUIP;;2046246675;;Samuel Vargas;;EMBARGAR
TI;;2058374012;;Victor Montoya;;EMBARGAR
NUIP;;2020679135;;Nathalia Bautista;;INHABILITAR
RC;;2006812706;;Tatiana Ortiz;;EMBARGAR
RC;;2068349780;;Fernando Sanchez;;INHABILITAR
NUIP;;2058509152;;Catalina Rojas;;INHABILITAR
NUIP;;2017149730;;Andres Ospina;;EMBARGAR
CE;;2066674025;;Andres Salazar;;EMBARGAR
TI;;2096525530;;Sandra Cabrera;;EMBARGAR
NUIP;;2032818431;;Monica Gutierrez;;EMBARGAR
NUIP;;2049516499;;Angela Bautista;;INHABILITAR
NUIP;;2095342483;;Mauricio Gomez;;INHABILITAR
CE;;2006994311;;Pedro Lopez;;EMBARGAR
TI;;2017823434;;Carlos Herrera;;INHABILITAR
CE;;2002015771;;Lucrecia Zapata;;INHABILITAR
CE;;2095546829;;Felipe Robledo;;INHABILITAR
CE;;2008164510;;Miguel Moreno;;EMBARGAR
RC;;2052081846;;Gloria Giraldo;;EMBARGAR
TI;;2077980848;;Catalina Robledo;;INHABILITAR
NUIP;;2072770726;;Patricia Sanchez;;INHABILITAR
