tipo_documento;;documento;;nombre_completo;;caracterizacion
NUIP;;2068659265;;Tatiana Torres;;EMBARGAR
RC;;2052519769;;Victor Martinez;;INHABILITAR
CE;;2037785050;;Miguel Jimenez;;EMBARGAR
TI;;2090538262;;Samuel Rios;;INHABILITAR
CC;;2072017866;;Carmen Moreno;;INHABILITAR
NUIP;;2000206651;;Catalina Gutierrez;;EMBARGAR
NUIP;;2064539908;;Carlos Castro;;INHABILITAR
NUIP;;2070235513;;Fernando Castro;;INHABILITAR
CE;;2079957106;;Fernando Ruiz;;EMBARGAR
CC;;2018055220;;Fernando Gutierrez;;INHABILITAR
CC;;2010069912;;Tatiana Hernandez;;EMBARGAR
NUIP;;2059749218;;Felipe Lopez;;INHABILITAR
TI;;2032571530;;Patricia Castaño;;EMBARGAR
NUIP;;2032710259;;Alonso Beltran;;EMBARGAR
NUIP;;2006189577;;Andres Gallego;;EMBARGAR
NUIP;;2014606926;;Alonso Vega;;INHABILITAR
CE;;2045745975;;Ricardo Paredes;;INHABILITAR
CE;;2084510423;;Lucrecia Lara;;EMBARGAR
CC;;2026804736;;Mariana Prieto;;INHABILITAR
TI;;2052327107;;Diana Garcia;;EMBARGAR
CE;;2002047354;;Veronica Cardenas;;EMBARGAR
CE;;2041336851;;Alicia Beltran;;INHABILITAR
CE;;2000105772;;Veronica Vega;;INHABILITAR
NUIP;;2008145341;;Felipe Vega;;INHABILITAR
CC;;2092815772;;Ivan Castro;;INHABILITAR
TI;;2016099593;;Alicia Cabrera;;INHABILITAR
NUIP;;2087575343;;Roberto Franco;;INHABILITAR
CE;;2030209459;;Gabriel Rios;;EMBARGAR
CC;;2030658686;;Sandra Arango;;INHABILITAR
TI;;2057131850;;Teresa Rios;;EMBARGAR
CC;;2015366730;;Liliana Gallego;;EMBARGAR
TI;;2016035405;;Liliana Prieto;;EMBARGAR
TI;;2069642808;;Roberto Paredes;;EMBARGAR
TI;;2023248516;;Esteban Vega;;EMBARGAR
CE;;2071781430;;Alonso Franco;;INHABILITAR
TI;;2064408797;;Mariana Cano;;EMBARGAR
TI;;2072576902;;Juan Gutierrez;;INHABILITAR
TI;;2020374862;;Jose Diaz;;EMBARGAR
NUIP;;2060269112;;Lorena Castro;;INHABILITAR
NUIP;;2044142220;;Ivan Lara;;EMBARGAR
RC;;2018771977;;Nathalia Castillo;;EMBARGAR
CC;;2005977723;;Veronica Rojas;;INHABILITAR
TI;;2036802991;;Mauricio Bautista;;INHABILITAR
CC;;2061100533;;Rafael Jaramillo;;EMBARGAR
RC;;2067588848;;Gloria Gallego;;EMBARGAR
CE;;2080295618;;Gloria Gomez;;EMBARGAR
NUIP;;2001966905;;Marta Castro;;EMBARGAR
CC;;2007049998;;Esteban Giraldo;;EMBARGAR
CE;;2016558304;;Roberto Acosta;;EMBARGAR
NUIP;;2027450284;;Sebastian Herrera;;INHABILITAR
