nombre;;identificacion;;edad;;embargado;;salario
Marcela Herrera;;2091564078;;52;;false;;7816598
Marta Murillo;;2032633184;;27;;true;;9073535
Roberto Bautista;;2091544047;;47;;true;;2066757
Eduardo Rojas;;2025698236;;38;;false;;5947349
Gabriel Vega;;2010872583;;29;;true;;8450710
Carlos Rivera;;2074285902;;38;;true;;7589583
Paula Arango;;2004518391;;42;;true;;4600784
Liliana Diaz;;2026332435;;33;;false;;4366708
Violeta Cano;;2040935779;;40;;true;;1435721
Gloria Lopez;;2051381117;;35;;false;;8557564
Miguel Jaramillo;;2018098859;;47;;false;;1391734
Cristian Ruiz;;2097091710;;52;;false;;7716536
Luis Lopez;;2087223586;;43;;false;;5790909
Luisa Beltran;;2090288489;;56;;false;;5258961
Teresa Mendez;;2053888643;;40;;false;;8160442
Alfredo Vargas;;2032736583;;31;;true;;4028456
Rafael Salazar;;2050313942;;42;;false;;4553499
Patricia Torres;;2090700124;;43;;false;;8359692
Diana Duarte;;2024049345;;30;;false;;9300579
Paola Mejia;;2046154067;;25;;false;;7795509
Cristian Rivera;;2084206792;;43;;true;;4887483
Fernando Molina;;2040058316;;54;;true;;5440071
Esteban Cano;;2031834284;;27;;false;;2145810
Julia Franco;;2090489846;;47;;false;;9675508
Sandra Murillo;;2098248992;;32;;true;;6767156
Paola Diaz;;2014088196;;48;;true;;9153828
Rosa Moreno;;2087176242;;34;;true;;3307408
Ricardo Rodriguez;;2090843904;;33;;false;;2362856
Hector Castillo;;2027900006;;26;;true;;7479922
Tatiana Robledo;;2068179707;;39;;true;;5131980
Hector Vega;;2024825597;;56;;true;;1970627
Sebastian Ortiz;;2095895379;;33;;false;;6053743
Liliana Vega;;2052184148;;29;;true;;5064540
Ricardo Ruiz;;2027254188;;52;;false;;786499
Adriana Cardenas;;2072250852;;42;;false;;9682283
Liliana Ruiz;;2079236607;;52;;true;;6126300
Esteban Quiroz;;2067560520;;56;;false;;7614770
Ricardo Franco;;2060018586;;46;;true;;3339410
Alicia Mendez;;2071051539;;51;;true;;4077449
Manuel Torres;;2009931356;;60;;true;;5159555
Silvia Rios;;2060324459;;46;;true;;1716465
Rosa Lopez;;2085339190;;37;;false;;9380100
Silvia Sanchez;;2099740502;;44;;true;;7854281
Nathalia Cardenas;;2065433581;;47;;true;;8895402
Silvia Rios;;2040730413;;50;;true;;7151712
Monica Cano;;2026186156;;57;;false;;2621459
Oscar Fernandez;;2053478487;;42;;true;;9622146
Alonso Franco;;2003842330;;49;;true;;3926324
Samuel Garcia;;2005515717;;28;;true;;7399066
Alfredo Martinez;;2059838179;;56;;true;;5905705
Miguel Ortiz;;2075679253;;28;;true;;9714489
Ricardo Ortiz;;2077198596;;39;;false;;1537415
Cesar Aguilar;;2038296223;;53;;true;;5521255
Luis Ortiz;;2028613268;;50;;true;;6614724
Cesar Beltran;;2045254972;;36;;true;;3378230
Manuel Sanchez;;2090772049;;43;;true;;3951437
Julia Ortiz;;2097505513;;52;;false;;8448539
Adriana Rios;;2090607082;;45;;false;;8490284
Felipe Arango;;2005140073;;27;;false;;3205033
Felipe Arias;;2000849300;;39;;true;;8545991
Gustavo Castro;;2028602266;;39;;true;;9750212
Monica Lara;;2035414941;;27;;true;;2974609
Patricia Ruiz;;2048629226;;33;;true;;7314777
Raquel Diaz;;2088610133;;51;;true;;7901580
Andres Munoz;;2061566176;;26;;false;;7807048
Gustavo Herrera;;2081861439;;48;;true;;3374809
Victor Lara;;2086596245;;46;;false;;8853172
Ricardo Aguilar;;2091942375;;59;;true;;5680616
Hernan Moreno;;2047712833;;54;;true;;2030336
Mauricio Acosta;;2034851251;;29;;false;;2445967
Carmen Cano;;2009749240;;27;;false;;5136556
Andres Rodriguez;;2095315514;;43;;false;;4737665
Ana Lopez;;2029940357;;41;;false;;2092468
Rodrigo Ospina;;2033316950;;39;;true;;4753642
Carlos Giraldo;;2085961684;;26;;true;;5333631
Gabriel Lara;;2091865011;;34;;false;;7683693
Ricardo Vega;;2044829238;;34;;true;;3684159
Marta Montoya;;2021986588;;34;;true;;3255332
Laura Robledo;;2053071851;;36;;false;;6078937
Diana Cano;;2063885481;;41;;true;;8393520
Luisa Bonilla;;2070369630;;33;;false;;4888994
Violeta Jaramillo;;2049923976;;47;;false;;7669779
Gabriela Zapata;;2022795926;;27;;false;;7982042
Oscar Gutierrez;;2020429187;;48;;true;;1709069
Diana Beltran;;2051773611;;40;;true;;2592080
Esteban Rios;;2008067906;;56;;false;;5218566
Raquel Salazar;;2022405592;;39;;true;;7611137
Carmen Ramirez;;2068536935;;38;;true;;8773505
Ivan Ramirez;;2038715593;;52;;true;;7089201
Diana Jaramillo;;2065763960;;45;;true;;4962236
Teresa Ortiz;;2094197236;;36;;false;;5020575
Luis Lopez;;2000320509;;56;;true;;2246391
Hernan Ramirez;;2028058002;;41;;false;;9599239
Felipe Salazar;;2011494544;;48;;false;;3715539
Sebastian Prieto;;2071610354;;55;;false;;5592332
Teresa Rios;;2030506450;;41;;true;;8552484
Rosa Lopez;;2007653832;;55;;true;;2076422
Valentina Hernandez;;2015555833;;28;;false;;6296404
Angela Duarte;;2008070677;;42;;true;;9592677
Violeta Torres;;2055301886;;37;;true;;3987882
