nombre;;identificacion;;edad;;embargado;;salario
Claudia Cano;;2072637670;;25;;true;;8838644
Nathalia Prieto;;2019090899;;45;;true;;8949478
Santiago Robledo;;2092815310;;32;;true;;2035917
Diana Prieto;;2008427692;;41;;false;;2778986
Carmen Castillo;;2051276911;;27;;false;;8981784
Diego Rodriguez;;2084683275;;32;;false;;3570663
Manuel Rodriguez;;2092247151;;41;;false;;5424132
Samuel Quiroz;;2038629454;;28;;true;;5592147
Mariana Torres;;2020184915;;60;;false;;6397203
Hernan Beltran;;2095797324;;52;;true;;2769757
Oscar Castro;;2019691311;;28;;false;;4035561
Luis Vargas;;2080868600;;51;;false;;9696334
Gabriela Bonilla;;2065602413;;28;;true;;7913137
Esteban Montoya;;2098407378;;34;;true;;7359119
Adriana Cardenas;;2025366695;;45;;true;;9073869
Camila Cabrera;;2039187989;;26;;false;;7152901
Carmen Arias;;2096772784;;33;;true;;9089364
Rodrigo Jimenez;;2086223713;;34;;true;;9749305
Jorge Salazar;;2044856286;;53;;false;;9691592
Mariana Robledo;;2084636003;;34;;true;;3676624
Cristian Jimenez;;2031789306;;26;;true;;6000200
Veronica Gutierrez;;2088648610;;39;;false;;1601427
Paola Lopez;;2081782128;;28;;false;;3703314
Miguel Velasquez;;2026155799;;40;;true;;8665543
Liliana Ramirez;;2011255155;;43;;true;;9970934
Paula Fernandez;;2030662042;;32;;true;;8734586
Carlos Salazar;;2078285665;;25;;false;;8851773
Javier Mendez;;2022879191;;53;;false;;9184995
Diego Lara;;2023611269;;30;;false;;7926090
Liliana Cano;;2047370902;;58;;true;;8647206
Gloria Gutierrez;;2097294583;;40;;false;;2511837
Catalina Jimenez;;2099338460;;28;;false;;5574528
Alonso Ospina;;2045178410;;50;;true;;8277954
Monica Vega;;2053332564;;39;;false;;757970
Julia Ortiz;;2057577492;;33;;false;;7722271
Marcela Rivera;;2077600051;;35;;true;;2548074
Paola Robledo;;2072461333;;43;;false;;6662219
Victor Munoz;;2057776226;;43;;false;;9520393
Cristian Castaño;;2020257782;;41;;false;;3446817
Alonso Moreno;;2021635518;;45;;true;;2252025
Tatiana Bonilla;;2046333238;;52;;true;;5818032
Sebastian Gallego;;2094234799;;58;;true;;9108666
Julia Valencia;;2029575286;;57;;true;;2880037
Santiago Ospina;;2048858444;;32;;true;;3484024
Diana Jaramillo;;2083376044;;54;;true;;5372836
Ricardo Torres;;2004274049;;31;;true;;6380793
Catalina Torres;;2019018288;;60;;true;;710256
Fernando Lopez;;2079705341;;50;;false;;8899858
Jose Arango;;2045013113;;56;;false;;2635319
Ricardo Vega;;2004078372;;29;;false;;6775649
Liliana Cano;;2020549589;;27;;false;;4938577
Esteban Ruiz;;2080310066;;32;;true;;6383884
Gabriela Rios;;2059917970;;46;;true;;7293015
Beatriz Diaz;;2077913411;;50;;true;;9420314
Ricardo Aguilar;;2021089686;;27;;false;;6453570
Jorge Castro;;2014843236;;28;;true;;7697961
Adriana Paredes;;2028661237;;47;;true;;5892149
Alicia Jimenez;;2022900494;;30;;false;;5195108
Camila Vega;;2070667343;;38;;false;;3569411
Alicia Torres;;2025216339;;55;;true;;3880132
Patricia Robledo;;2089158802;;55;;true;;7256403
Catalina Gutierrez;;2010919786;;52;;true;;4243912
Luis Gallego;;2023680798;;26;;true;;2144373
Manuel Aguilar;;2055396400;;56;;true;;8209593
Valentina Mendez;;2011234887;;51;;true;;3987654
Rosa Torres;;2070101818;;26;;true;;3623270
Veronica Sanchez;;2048291905;;40;;true;;1649795
Felipe Moreno;;2035801557;;26;;false;;5325203
Sandra Jaramillo;;2020708923;;45;;true;;779975
Miguel Munoz;;2089629687;;38;;true;;7149209
Cesar Vega;;2004591317;;53;;false;;7211297
Hector Cano;;2040841703;;40;;false;;5702821
Marta Duarte;;2078173453;;25;;true;;8914604
Andres Quiroz;;2078811992;;40;;false;;6208441
Jorge Mendez;;2005371294;;26;;false;;2531288
Manuel Rivera;;2070861339;;43;;false;;6220226
Sebastian Fernandez;;2005729637;;27;;true;;5245504
Marcela Garcia;;2059575616;;36;;true;;4893562
Luis Jaramillo;;2042956886;;49;;true;;3277604
Rodrigo Jimenez;;2003173365;;59;;false;;9743585
Jorge Bautista;;2060481007;;26;;false;;7609490
Beatriz Herrera;;2066973818;;40;;true;;9593461
Marta Munoz;;2087954950;;41;;true;;8597027
Ricardo Prieto;;2093419532;;49;;true;;2571425
Claudia Robledo;;2026382114;;56;;true;;9490080
Gustavo Sanchez;;2048396252;;60;;false;;6424866
Ricardo Moreno;;2038422549;;44;;true;;6219173
Rafael Montoya;;2003192079;;48;;true;;890331
Jorge Arias;;2071014992;;46;;true;;9339851
Esteban Herrera;;2013585904;;27;;false;;2917084
Silvia Ramirez;;2073316668;;28;;true;;2662582
Samuel Hernandez;;2019990332;;36;;true;;3324488
Rafael Ospina;;2026735227;;34;;false;;8155490
Carlos Zapata;;2078616212;;37;;false;;2129188
Paula Jimenez;;2016987525;;47;;true;;1335900
Violeta Rivera;;2017290932;;60;;true;;9765562
Monica Cano;;2050044075;;28;;false;;2255537
Sandra Ruiz;;2024578233;;38;;true;;2117748
Samuel Salazar;;2085784165;;30;;false;;6783902
Alonso Torres;;2084846650;;45;;true;;6549516
