nombre;;identificacion;;edad;;embargado;;salario
Beatriz Castro;;2027777166;;47;;false;;1753047
Monica Arias;;2026269741;;28;;false;;5730435
Eduardo Giraldo;;2046924364;;47;;true;;8017950
Diana Rodriguez;;2068614745;;28;;false;;4569376
Hernan Franco;;2071869241;;40;;true;;879622
Javier Sanchez;;2028417653;;33;;true;;8621492
Adriana Velasquez;;2037718450;;57;;true;;2870483
Nathalia Mejia;;2033221346;;53;;false;;1139843
Samuel Castro;;2057040150;;54;;true;;7775250
Ricardo Lara;;2035319067;;45;;true;;5354798
Diana Arias;;2080147560;;37;;true;;5670237
Beatriz Montoya;;2064001608;;55;;false;;1715452
Gloria Gomez;;2084597942;;36;;false;;7410110
Camila Beltran;;2083214691;;57;;true;;6712534
Diego Jaramillo;;2071826685;;56;;true;;8623193
Juan Ospina;;2043779096;;55;;true;;9939536
Nathalia Lopez;;2082560642;;32;;true;;9235142
Claudia Ortiz;;2022258197;;31;;true;;2368015
Julia Mendez;;2027230952;;55;;false;;3554309
Eduardo Murillo;;2021756383;;34;;false;;2851612
Fernando Robledo;;2082332162;;37;;true;;8171695
Laura Ruiz;;2069031291;;31;;true;;5077170
Adriana Ortiz;;2021647994;;56;;false;;3218646
Miguel Vargas;;2092069610;;45;;true;;1054792
Felipe Lara;;2049400587;;27;;false;;9029187
Gloria Montoya;;2061851021;;28;;false;;7536131
Pedro Arias;;2072508751;;59;;true;;4906991
Victor Ospina;;2026217272;;54;;false;;6725159
Eduardo Fernandez;;2014790958;;35;;true;;7381149
Monica Lopez;;2017417283;;37;;true;;7328018
Gloria Rivera;;2047665606;;28;;true;;6273635
Patricia Vega;;2037181289;;32;;false;;2023411
Cesar Ramirez;;2077408682;;38;;false;;1153914
Javier Velasquez;;2062039096;;54;;false;;2898037
Fernando Moreno;;2051979641;;34;;false;;5720607
Alfredo Giraldo;;2032862073;;55;;false;;6547861
Hector Salazar;;2085404359;;47;;false;;5885361
Gustavo Fernandez;;2012256826;;34;;true;;5585055
Tatiana Giraldo;;2059368635;;32;;false;;7878137
Teresa Salazar;;2031455012;;41;;true;;5013992
Pedro Acosta;;2077094503;;31;;true;;7533586
Fernando Fernandez;;2045979201;;36;;false;;6432612
Jorge Arango;;2092219881;;28;;true;;4746907
Paula Aguilar;;2018202665;;41;;true;;1466023
Felipe Zapata;;2095390492;;50;;false;;2785333
Felipe Rivera;;2026458381;;53;;true;;9056286
Eduardo Castro;;2034953321;;36;;true;;2848955
Felipe Martinez;;2023961361;;33;;true;;9786969
Rafael Bautista;;2050698005;;32;;false;;6384864
Angela Torres;;2086114234;;36;;true;;2324202
Angela Lara;;2018084825;;35;;true;;5155849
Gabriela Castaño;;2098932324;;55;;false;;7193717
Angela Torres;;2005367171;;33;;true;;8696885
Beatriz Cardenas;;2084746637;;43;;true;;4626307
Marta Moreno;;2050186414;;50;;false;;2463773
Eduardo Valencia;;2050999541;;25;;true;;4193985
Carmen Diaz;;2048895406;;57;;false;;4108997
Jorge Cardenas;;2066016401;;25;;false;;3106505
Oscar Zapata;;2011962569;;30;;true;;2820154
Andres Cardenas;;2010717125;;29;;false;;7173142
Raquel Fernandez;;2049173571;;56;;true;;2220952
Samuel Mejia;;2054406204;;30;;true;;3455439
Tatiana Bonilla;;2088310734;;56;;true;;2535667
Lucrecia Bonilla;;2056843761;;35;;false;;8958408
Tatiana Aguilar;;2082231289;;57;;false;;2616575
Gabriel Rios;;2036886144;;30;;false;;3478778
Rafael Vargas;;2081496376;;46;;false;;3068599
Veronica Lopez;;2052680294;;46;;false;;9882217
Rodrigo Moreno;;2014051812;;45;;false;;9970646
Ricardo Garcia;;2041194132;;31;;false;;6601214
Liliana Gallego;;2082197742;;42;;false;;1521728
Roberto Martinez;;2020744697;;49;;false;;2990515
Jose Herrera;;2035134387;;32;;true;;5982233
Oscar Jimenez;;2037311230;;47;;true;;4589049
Rafael Moreno;;2099057072;;26;;true;;7023557
Esteban Ramirez;;2049892684;;57;;true;;6394974
Jose Jaramillo;;2056434190;;58;;false;;3777658
Ivan Rodriguez;;2096858352;;46;;false;;8273329
Luis Prieto;;2031916338;;30;;true;;6241438
Veronica Herrera;;2093748901;;47;;true;;1466504
Felipe Hernandez;;2090029470;;48;;false;;1628486
Jorge Ortiz;;2094431674;;26;;true;;757106
Lorena Lara;;2044439520;;29;;true;;4767274
Samuel Velasquez;;2026804077;;57;;true;;3490970
Manuel Bonilla;;2097593671;;48;;false;;4215962
Carlos Giraldo;;2008132095;;57;;false;;6941553
Oscar Moreno;;2062675280;;54;;true;;3787755
Oscar Prieto;;2028358844;;30;;false;;8885664
Roberto Paredes;;2025949460;;46;;false;;7204779
Ricardo Sanchez;;2046849917;;33;;false;;7194300
Diego Salazar;;2071298158;;55;;true;;4304340
Teresa Rojas;;2018866002;;59;;false;;1078521
Carlos Rojas;;2029115815;;58;;false;;7341788
Esteban Murillo;;2026342161;;57;;false;;2930510
Silvia Rivera;;2097453781;;29;;false;;6710899
Gustavo Rodriguez;;2079034957;;50;;false;;873808
Eduardo Lopez;;2054898502;;50;;false;;8487123
Fernando Arias;;2071472494;;42;;true;;2568522
Gloria Moreno;;2070206807;;51;;false;;3727887
Alfredo Garcia;;2037361650;;50;;false;;8601133
