nombre;;identificacion;;edad;;embargado;;salario
Tatiana Aguilar;;2082731203;;59;;false;;5910902
Monica Cano;;2020209413;;43;;true;;3005060
Silvia Torres;;2091608644;;47;;false;;1996835
Ricardo Diaz;;2014649096;;36;;false;;3780776
Nathalia Rios;;2090949086;;47;;true;;6783914
Raquel Montoya;;2078477007;;42;;true;;1835366
Liliana Aguilar;;2040787198;;26;;true;;8515143
Alonso Ospina;;2066929347;;28;;true;;3100675
Carmen Gallego;;2078428242;;29;;true;;1846688
Felipe Rojas;;2074365298;;28;;true;;1165016
Veronica Diaz;;2043455882;;58;;false;;2888708
Sandra Vega;;2035262646;;25;;true;;4024661
Rafael Cano;;2093669802;;41;;false;;9209238
Patricia Acosta;;2057241032;;34;;true;;3538797
Ana Castaño;;2019730463;;37;;true;;5549881
Paula Vega;;2024207185;;25;;false;;5621395
Alonso Garcia;;2022602542;;44;;true;;5875913
Silvia Mendez;;2060305384;;35;;false;;1923451
Lucrecia Vega;;2034099497;;53;;true;;8864592
Juan Diaz;;2066514074;;48;;true;;1436651
Cesar Lopez;;2002870920;;39;;false;;6045154
Hector Salazar;;2029251137;;35;;true;;4497761
Adriana Salazar;;2038036602;;57;;true;;7710943
Rafael Salazar;;2077738151;;39;;true;;6407015
Julia Vargas;;2048667155;;43;;false;;8792591
Ana Arias;;2007321944;;52;;true;;6073415
Paula Ruiz;;2057253744;;29;;true;;9049450
Marcela Lopez;;2080725249;;32;;false;;3188657
Patricia Diaz;;2056794599;;26;;false;;3465672
Rafael Cano;;2051835384;;28;;false;;1063818
Violeta Gutierrez;;2078971384;;58;;true;;5286290
Ricardo Torres;;2090975947;;58;;true;;2943404
Diego Velasquez;;2023276021;;42;;false;;7968135
Violeta Ruiz;;2057764558;;36;;true;;5605072
Mariana Franco;;2052430295;;33;;false;;8807521
Teresa Ruiz;;2033617891;;26;;true;;936292
Alicia Velasquez;;2098493153;;33;;false;;1098667
Miguel Munoz;;2013109525;;52;;false;;8035831
Lorena Montoya;;2086818998;;48;;true;;3503209
Raquel Castro;;2095886678;;27;;true;;8275294
Veronica Giraldo;;2050273028;;34;;true;;6818874
Catalina Velasquez;;2084339505;;41;;true;;8033512
Carmen Quiroz;;2013530249;;34;;false;;9403334
Hernan Salazar;;2079772423;;38;;false;;2100936
Marcela Rojas;;2089356276;;50;;false;;2631044
Manuel Munoz;;2037637169;;26;;false;;4042658
Gabriela Garcia;;2072130803;;52;;false;;2485818
Lucrecia Arango;;2006258191;;57;;true;;734310
Pedro Ramirez;;2071068777;;31;;false;;7779981
Alfredo Arias;;2083907392;;37;;false;;2309271
Liliana Lara;;2092207815;;52;;false;;1069027
Monica Castaño;;2005373691;;56;;true;;5408583
Adriana Quiroz;;2003286808;;57;;true;;2911116
Pedro Aguilar;;2040951305;;51;;false;;6184264
Camila Moreno;;2078651956;;49;;false;;3781075
Oscar Velasquez;;2030362444;;25;;true;;5333731
Santiago Rios;;2007998134;;55;;false;;904901
Tatiana Prieto;;2004139552;;45;;true;;1802759
Camila Cano;;2077894030;;26;;false;;9543790
Paula Giraldo;;2036990117;;32;;true;;9309303
Alfredo Franco;;2022257256;;57;;false;;4628769
Camila Zapata;;2024128822;;34;;false;;2341676
Julia Velasquez;;2027787479;;45;;true;;5319078
Samuel Prieto;;2091929524;;26;;false;;7519713
Miguel Arango;;2044878407;;42;;true;;6259613
Monica Herrera;;2011319413;;40;;true;;8932046
Paula Rivera;;2037323833;;58;;false;;9287967
Cesar Velasquez;;2082455930;;54;;false;;7596096
Diana Paredes;;2019605155;;37;;false;;7705978
Ricardo Lopez;;2032689859;;29;;true;;7653883
Ricardo Mendez;;2047700806;;25;;true;;9178324
Alicia Cardenas;;2015570528;;53;;false;;4047553
Valentina Rodriguez;;2014103223;;35;;false;;8709368
Oscar Fernandez;;2013061540;;42;;true;;6753637
Hernan Moreno;;2054177098;;44;;true;;6004035
Andres Gallego;;2005901292;;58;;false;;2581032
Marta Herrera;;2054710874;;37;;false;;4669270
Luis Castro;;2003011012;;33;;true;;9927300
Patricia Martinez;;2000667669;;46;;true;;6651517
Ana Vega;;2056429890;;48;;true;;4331308
Andres Hernandez;;2041699276;;42;;false;;1091926
Oscar Arango;;2064950864;;51;;true;;9026124
Claudia Paredes;;2017341364;;25;;false;;5520596
Monica Salazar;;2062935323;;35;;false;;6725235
Jorge Ortiz;;2047727977;;57;;false;;4229844
Felipe Bautista;;2070925546;;47;;true;;4035204
Luis Sanchez;;2063047178;;35;;true;;5147722
Eduardo Herrera;;2036543902;;48;;false;;3180215
Liliana Ortiz;;2078771038;;56;;false;;8588764
Oscar Moreno;;2047309773;;47;;true;;9898643
Monica Valencia;;2028474306;;57;;false;;3020342
Luisa Vega;;2026116664;;55;;false;;8889789
Paula Giraldo;;2076681354;;51;;true;;3861403
Camila Ruiz;;2096365419;;33;;false;;8090579
Eduardo Arias;;2032734404;;25;;false;;9326039
Carlos Valencia;;2026315454;;56;;true;;6903030
Catalina Gutierrez;;2034380367;;42;;true;;8203756
Lucrecia Rojas;;2023941023;;32;;true;;5453448
Valentina Gallego;;2014468865;;33;;true;;6316212
Ricardo Diaz;;2054437323;;58;;false;;4990887
