nombre;;identificacion;;edad;;embargado;;salario
Gabriel Torres;;2078315375;;32;;false;;970697
Eduardo Ortiz;;2084317648;;38;;true;;3123543
Rodrigo Rivera;;2093222823;;36;;false;;3470020
Claudia Gutierrez;;2038159903;;26;;false;;731186
Paola Castillo;;2086231619;;60;;true;;6352687
Liliana Diaz;;2072584985;;41;;false;;8710783
Claudia Vega;;2069609431;;42;;false;;6317090
Gabriela Rojas;;2009890650;;41;;false;;8663961
Gloria Cardenas;;2058858029;;36;;false;;9125048
Violeta Vega;;2073067141;;48;;false;;9133919
Eduardo Murillo;;2032023421;;27;;false;;3850728
Valentina Jimenez;;2032748992;;25;;false;;5886576
Pedro Moreno;;2001216730;;42;;true;;3076101
Rafael Rivera;;2053952768;;27;;false;;3648135
Lorena Herrera;;2015856882;;43;;false;;3973608
Rodrigo Ortiz;;2058609751;;31;;false;;896367
Rosa Franco;;2001177568;;50;;false;;2694103
Gabriela Arango;;2013402600;;60;;true;;5940697
Angela Ortiz;;2063500011;;49;;false;;1323653
Beatriz Vega;;2063209753;;29;;false;;5082230
Alonso Salazar;;2056012351;;32;;false;;2463071
Marcela Jimenez;;2001888787;;30;;true;;6688426
Luis Robledo;;2015809586;;36;;true;;2732065
Jorge Rojas;;2001228926;;46;;true;;8905913
Diego Rivera;;2001497457;;45;;false;;3370857
Lucrecia Montoya;;2098783479;;43;;false;;6039951
Violeta Cano;;2085717864;;54;;true;;1688377
Catalina Rojas;;2094540038;;54;;false;;1531170
Sebastian Salazar;;2055558608;;51;;false;;7317141
Patricia Rodriguez;;2095953002;;29;;true;;6079310
Beatriz Rojas;;2047265521;;58;;false;;2661569
Paola Murillo;;2021115337;;33;;false;;1973925
Gabriela Arias;;2044135872;;26;;true;;5143584
Alfredo Valencia;;2039424504;;59;;true;;8800580
Luis Castillo;;2075345359;;43;;true;;9811781
Valentina Castaño;;2046274718;;60;;true;;6098060
Diana Lopez;;2070204682;;39;;false;;6850906
Ricardo Jimenez;;2071529861;;40;;false;;5039482
Silvia Jimenez;;2093225955;;26;;false;;5384347
Laura Velasquez;;2093019244;;35;;true;;7935278
Santiago Bonilla;;2086139520;;28;;true;;4327923
Luis Moreno;;2038456007;;55;;true;;9216095
Ricardo Ortiz;;2054512287;;37;;false;;6059747
Adriana Arango;;2069021264;;32;;true;;6817156
Rosa Franco;;2049721757;;39;;false;;3894652
Claudia Franco;;2048656938;;37;;true;;7951029
Cristian Castaño;;2069120889;;45;;true;;8052087
Lorena Rios;;2098357222;;51;;false;;7198789
Luis Quiroz;;2063581574;;25;;true;;773029
Paola Cano;;2033610258;;45;;false;;2753923
Hernan Aguilar;;2078849557;;26;;false;;7297820
Patricia Moreno;;2032706591;;36;;true;;7554431
Carlos Martinez;;2099927331;;54;;false;;3859307
Patricia Cabrera;;2089908782;;48;;true;;4438280
Roberto Prieto;;2006520286;;42;;true;;8311491
Valentina Castaño;;2062494015;;60;;false;;3565741
Valentina Torres;;2018308855;;29;;true;;5220797
Sebastian Rios;;2025179667;;45;;true;;5540913
Carlos Beltran;;2040216571;;57;;true;;1838600
Gabriela Mejia;;2094444677;;25;;true;;3845987
Luis Martinez;;2009503070;;54;;true;;6589656
Marta Castaño;;2059239078;;27;;false;;7379798
Pedro Rivera;;2023060556;;58;;false;;6474525
Luis Munoz;;2076979162;;56;;false;;3978800
Mauricio Vega;;2035214317;;30;;false;;3899276
Felipe Ramirez;;2013385120;;45;;false;;4352295
Nathalia Vargas;;2096603128;;56;;false;;1892236
Paola Castro;;2028737940;;53;;true;;7455304
Diego Franco;;2048854784;;30;;false;;4930942
Gabriela Martinez;;2031019022;;26;;true;;2570229
Camila Castillo;;2000735431;;36;;false;;9699214
Juan Aguilar;;2074264852;;56;;true;;3914476
Nathalia Torres;;2088533739;;28;;false;;6382493
Gabriel Ortiz;;2062172749;;40;;false;;1582417
Samuel Bautista;;2023420542;;29;;false;;2541344
Rosa Cano;;2044497027;;45;;true;;7996878
Cesar Moreno;;2034035547;;29;;true;;8835468
Diana Paredes;;2050798969;;57;;false;;2307233
Andres Acosta;;2043025257;;38;;false;;6939715
Claudia Diaz;;2036250045;;39;;false;;2061275
Ricardo Giraldo;;2009442151;;29;;false;;1086866
Hector Ramirez;;2047461717;;48;;true;;965643
Carlos Montoya;;2006581941;;36;;false;;6570461
Beatriz Garcia;;2068402636;;56;;false;;4312342
Liliana Aguilar;;2045010922;;29;;true;;2271083
Ricardo Prieto;;2042808222;;54;;true;;5823897
Cristian Giraldo;;2037285833;;50;;false;;1193537
Luis Ortiz;;2039207426;;40;;true;;2029651
Julia Montoya;;2069403407;;58;;true;;6202192
Lorena Herrera;;2018090811;;42;;true;;4294365
Julia Herrera;;2092565568;;50;;true;;8797583
Teresa Castro;;2014285593;;60;;false;;4498452
Ana Quiroz;;2024967186;;31;;false;;1567658
Alfredo Lara;;2065015696;;28;;true;;6271275
Santiago Arango;;2037577071;;41;;false;;964329
Carlos Acosta;;2061259083;;42;;true;;6977427
Jorge Prieto;;2039729566;;37;;false;;7470662
Jorge Moreno;;2013758747;;26;;false;;4891072
Luis Herrera;;2073503136;;57;;false;;7955985
Hector Hernandez;;2095695242;;45;;true;;708183
