nombre;;identificacion;;edad;;embargado;;salario
Gustavo Robledo;;2040979438;;55;;true;;6434880
Rosa Herrera;;2043329987;;52;;true;;1799271
Cristian Rivera;;2010580090;;51;;false;;5621573
Marcela Gallego;;2058516309;;48;;false;;5555342
Cesar Lopez;;2020176656;;33;;true;;9166465
Alicia Castaño;;2092179982;;32;;true;;8291599
Fernando Moreno;;2071809762;;31;;false;;8065222
Ana Hernandez;;2049979709;;52;;false;;3684023
Oscar Herrera;;2079059231;;26;;false;;6488944
Catalina Hernandez;;2032060750;;51;;true;;6946080
Tatiana Torres;;2088306816;;50;;true;;7090818
Lorena Vega;;2057041497;;58;;true;;9308352
Jorge Ortiz;;2077328439;;26;;true;;745588
Mauricio Moreno;;2069106189;;27;;false;;720183
Samuel Jimenez;;2096020034;;46;;false;;8148395
Jose Rodriguez;;2027308115;;33;;true;;920317
Marta Duarte;;2062063587;;25;;false;;9036400
Carmen Ortiz;;2038623106;;30;;true;;8658710
Alicia Arias;;2041984806;;53;;true;;7344668
Pedro Cabrera;;2003456756;;49;;true;;8175447
Cristian Velasquez;;2097084911;;27;;false;;9199600
Gabriela Bautista;;2079674941;;49;;true;;4229126
Luis Castro;;2018491185;;49;;false;;7385489
Carmen Ortiz;;2080257442;;52;;true;;1421758
Pedro Lara;;2073342645;;34;;false;;8046202
Luis Castro;;2004380257;;25;;true;;8370467
Rodrigo Castro;;2014589369;;29;;true;;4683854
Sebastian Cardenas;;2084224794;;41;;false;;1312641
Monica Robledo;;2021675028;;35;;false;;8118185
Rosa Arango;;2059877936;;57;;false;;5088184
Luis Giraldo;;2016816909;;44;;false;;998664
Rosa Cardenas;;2042764513;;37;;false;;4008888
Ivan Bonilla;;2088727256;;49;;false;;8344236
Sandra Rios;;2082856163;;28;;true;;8544747
Rafael Mejia;;2074631182;;49;;false;;7007436
Laura Lopez;;2033590150;;48;;false;;8878964
Silvia Salazar;;2097253690;;34;;true;;7337174
Teresa Prieto;;2022580253;;40;;false;;8106246
Violeta Mendez;;2038995068;;37;;false;;3617298
Diana Prieto;;2008962349;;43;;false;;1022939
Ivan Giraldo;;2004557800;;59;;false;;2271799
Marcela Castro;;2054385483;;44;;true;;2304234
Mariana Gomez;;2048555051;;54;;true;;7011872
Nathalia Gallego;;2094466690;;47;;true;;3080263
Camila Cardenas;;2031181873;;60;;false;;2406050
Claudia Franco;;2032311902;;30;;true;;9397910
Santiago Moreno;;2032348785;;49;;true;;9140802
Santiago Bautista;;2044768845;;51;;true;;9333700
Monica Castillo;;2031680052;;56;;false;;2054693
Ana Ramirez;;2047041555;;53;;true;;3488364
Teresa Castaño;;2052890805;;51;;false;;5962732
Rosa Arango;;2015086556;;55;;true;;4379650
Claudia Velasquez;;2001839375;;45;;false;;1483785
Liliana Lopez;;2011757319;;58;;true;;1732942
Patricia Aguilar;;2082394073;;32;;false;;780161
Liliana Sanchez;;2052355010;;37;;false;;9879053
Julia Duarte;;2056227727;;60;;true;;8682653
Tatiana Quiroz;;2053977881;;50;;true;;8758343
Teresa Fernandez;;2008334136;;46;;false;;1279880
Lucrecia Gallego;;2072307784;;55;;true;;8905153
Andres Castaño;;2052467913;;57;;true;;8455482
Paola Ruiz;;2038324876;;30;;false;;1177596
Andres Giraldo;;2087278018;;45;;false;;9550252
Mauricio Zapata;;2046944409;;33;;true;;4717564
Miguel Ortiz;;2060534232;;45;;false;;4385947
Manuel Duarte;;2090526669;;39;;true;;7282463
Jose Moreno;;2039115210;;48;;true;;4249369
Fernando Giraldo;;2030329354;;58;;false;;710234
Eduardo Robledo;;2070907800;;28;;true;;3686926
Liliana Salazar;;2044460683;;37;;true;;7201551
Gabriela Vega;;2033007117;;51;;true;;8883195
Gustavo Sanchez;;2060570806;;31;;false;;5710125
Fernando Franco;;2082485517;;27;;false;;2415725
Violeta Ruiz;;2080582302;;33;;true;;5025784
Teresa Rojas;;2029510919;;51;;false;;7524227
Luis Beltran;;2024701462;;34;;false;;1182238
Gabriel Fernandez;;2078252910;;44;;false;;6121270
Gloria Beltran;;2000751860;;49;;true;;9910555
Monica Vega;;2063184950;;41;;false;;8403164
Gabriel Bonilla;;2079260741;;34;;false;;888317
Diego Hernandez;;2039431622;;45;;false;;8936418
Jorge Arango;;2094839568;;28;;false;;6607484
Santiago Martinez;;2055178289;;49;;false;;4144429
Ricardo Prieto;;2057065278;;27;;false;;4896537
Marta Herrera;;2065468666;;26;;true;;3398632
Lorena Mendez;;2047421314;;43;;false;;4024076
Gabriela Vega;;2064405490;;25;;true;;9027862
Ivan Arango;;2059464130;;60;;false;;3120949
Ana Moreno;;2005780262;;35;;true;;5602841
Santiago Martinez;;2027309620;;52;;false;;1026165
Diana Munoz;;2043602450;;26;;false;;3203058
Carlos Beltran;;2066819344;;32;;false;;6076995
Eduardo Martinez;;2003612159;;31;;false;;4398636
Lorena Giraldo;;2004461760;;33;;true;;6124090
Carmen Sanchez;;2081105674;;35;;true;;2235802
Monica Ruiz;;2053447150;;41;;false;;7750327
Angela Jimenez;;2005619218;;45;;true;;1424542
Catalina Rojas;;2073768538;;25;;false;;4450634
Luis Torres;;2022864429;;49;;true;;7110017
Manuel Montoya;;2031686120;;57;;true;;4458782
