nombre;;identificacion;;edad;;embargado;;salario
Marta Ruiz;;2052275090;;32;;false;;7793311
Violeta Garcia;;2099100549;;42;;false;;3638639
Liliana Ramirez;;2012751358;;34;;false;;9670194
Cristian Ortiz;;2015222664;;25;;false;;3550845
Manuel Ruiz;;2032463866;;36;;true;;4170526
Marcela Murillo;;2008215859;;50;;true;;6374743
Paula Castillo;;2092680904;;47;;true;;8390784
Santiago Rivera;;2033402494;;42;;false;;8646644
Rafael Munoz;;2029236069;;53;;false;;2128048
Camila Montoya;;2054438194;;26;;true;;7553830
Juan Molina;;2078334122;;45;;false;;8659140
Paola Gutierrez;;2029072435;;32;;true;;9968370
Catalina Prieto;;2002765221;;60;;true;;3732517
Ricardo Valencia;;2023396770;;56;;false;;4906663
Alfredo Montoya;;2008507891;;25;;true;;8181798
Mauricio Prieto;;2044641559;;46;;false;;9140545
Juan Salazar;;2080804256;;30;;true;;4102381
Gustavo Giraldo;;2079197027;;59;;true;;9288125
Cesar Ramirez;;2020699517;;32;;true;;8295193
Liliana Martinez;;2054031537;;25;;false;;1832644
Marcela Cano;;2021363662;;34;;false;;1888467
Fernando Vargas;;2018339257;;41;;false;;7683489
Pedro Mejia;;2015286300;;54;;false;;1677743
Angela Hernandez;;2051679386;;47;;false;;4372975
Diego Munoz;;2000367368;;34;;false;;7459195
Luisa Diaz;;2032475646;;40;;false;;818438
Laura Sanchez;;2022794321;;55;;true;;5676933
Silvia Vargas;;2095460596;;36;;false;;1219302
Mariana Arango;;2087092462;;39;;false;;6236142
Patricia Lopez;;2001281175;;31;;false;;6717743
Rafael Ramirez;;2000314528;;48;;true;;3471330
Valentina Castro;;2001829820;;57;;false;;8100099
Felipe Valencia;;2015462934;;53;;false;;7485459
Rosa Jimenez;;2092967212;;46;;true;;951442
Alonso Herrera;;2075889315;;42;;false;;5862069
Oscar Torres;;2040017141;;57;;false;;9583225
Ana Duarte;;2051479380;;41;;true;;7410221
Camila Munoz;;2097403687;;29;;false;;8386477
Valentina Mejia;;2028604694;;28;;false;;1319953
Claudia Gomez;;2051180367;;52;;true;;6227983
Sandra Mejia;;2047936654;;57;;true;;9469586
Luis Castillo;;2043629101;;31;;false;;5989823
Esteban Torres;;2029258858;;26;;true;;6131791
Tatiana Munoz;;2078728421;;60;;false;;4263252
Juan Martinez;;2020639341;;48;;false;;2521252
Andres Mejia;;2017352112;;58;;false;;4183024
Oscar Valencia;;2043035700;;60;;true;;3230120
Monica Moreno;;2035630986;;42;;false;;4391507
Esteban Rios;;2045388584;;45;;true;;3310315
Veronica Moreno;;2010262698;;57;;false;;1414535
Adriana Castro;;2087974176;;43;;true;;2220861
Liliana Torres;;2096968604;;49;;false;;2532775
Hernan Torres;;2055917944;;50;;false;;8348995
Luis Moreno;;2034810861;;29;;true;;2160206
Eduardo Salazar;;2065021535;;59;;true;;7305846
Violeta Paredes;;2039662727;;37;;false;;8387972
Ana Rojas;;2044238803;;58;;true;;1155232
Raquel Salazar;;2090865040;;40;;false;;3335166
Victor Beltran;;2044738912;;34;;true;;3701250
Felipe Lopez;;2084117115;;42;;false;;6757748
Mauricio Salazar;;2043663558;;33;;true;;3875550
Felipe Salazar;;2089126423;;32;;false;;6125170
Andres Ramirez;;2092604733;;40;;true;;6978922
Hector Beltran;;2034032534;;55;;true;;8339189
Teresa Lara;;2045804905;;28;;true;;8425551
Violeta Ortiz;;2052636720;;26;;true;;4378843
Patricia Moreno;;2012738453;;45;;false;;7893618
Adriana Hernandez;;2002332388;;43;;true;;6970929
Manuel Moreno;;2096955450;;26;;true;;9352041
Patricia Rojas;;2030001025;;28;;true;;7240029
Alicia Lopez;;2069871559;;52;;false;;6193716
Lucrecia Cano;;2011835350;;51;;true;;3594538
Mariana Cano;;2066750040;;52;;true;;3081743
Raquel Castillo;;2088308494;;37;;true;;1529928
Eduardo Sanchez;;2047273270;;42;;true;;4981587
Claudia Herrera;;2051196698;;39;;false;;9679011
Carmen Montoya;;2059312614;;50;;true;;2408595
Monica Gutierrez;;2050197632;;40;;false;;5061442
Ana Bonilla;;2071584935;;27;;false;;8271315
Gustavo Hernandez;;2046878328;;30;;false;;7221602
Tatiana Fernandez;;2074548862;;47;;false;;4900297
Fernando Mendez;;2053132689;;44;;true;;3783894
Lucrecia Lopez;;2006795363;;50;;false;;7952629
Manuel Duarte;;2016308492;;54;;false;;2190854
Rafael Giraldo;;2069039927;;58;;true;;2773413
Sebastian Robledo;;2081986962;;60;;false;;5684174
Jorge Cano;;2039043683;;48;;true;;3880690
Adriana Torres;;2094052759;;34;;true;;3900400
Patricia Ospina;;2077158884;;57;;false;;8665637
Hector Duarte;;2082213756;;44;;true;;928895
Mariana Acosta;;2049819593;;40;;true;;1256602
Rodrigo Montoya;;2004648122;;25;;false;;3637537
Hernan Gomez;;2043664150;;54;;true;;4887569
Violeta Franco;;2021154056;;32;;false;;6961562
Diana Rojas;;2069250603;;39;;false;;941046
Jose Giraldo;;2051203906;;47;;false;;4101350
Ricardo Cano;;2025953417;;58;;true;;7499775
Nathalia Ramirez;;2060474929;;49;;false;;1054236
Claudia Ramirez;;2004461538;;47;;true;;1508945
Paula Castro;;2036846583;;39;;true;;5665126
