tipo_documento;;documento;;nombre_completo;;caracterizacion
RC;;2021908595;;Laura Rodriguez;;INHABILITAR
TI;;2056320659;;Valentina Beltran;;INHABILITAR
CC;;2054223783;;Silvia Jaramillo;;EMBARGAR
TI;;2073405353;;Angela Zapata;;EMBARGAR
NUIP;;2050764088;;Oscar Gutierrez;;EMBARGAR
CE;;2055781308;;Diana Quiroz;;INHABILITAR
NUIP;;2029685152;;Angela Mendez;;EMBARGAR
NUIP;;2033992850;;Ivan Salazar;;EMBARGAR
CE;;2077654903;;Lorena Beltran;;EMBARGAR
CC;;2038434026;;Diego Gomez;;INHABILITAR
CC;;2059301087;;Andres Mejia;;INHABILITAR
TI;;2066809390;;Liliana Salazar;;INHABILITAR
CE;;2039072155;;Mariana Rodriguez;;EMBARGAR
NUIP;;2094557519;;Lucrecia Torres;;EMBARGAR
TI;;2014087974;;Luisa Valencia;;INHABILITAR
NUIP;;2028656748;;Cesar Giraldo;;INHABILITAR
CC;;2044069745;;Gabriel Castillo;;INHABILITAR
TI;;2057132942;;Luis Cabrera;;EMBARGAR
CC;;2000658476;;Hector Ramirez;;INHABILITAR
RC;;2038865711;;Carmen Bonilla;;EMBARGAR
RC;;2064559107;;Camila Moreno;;INHABILITAR
TI;;2008372352;;Felipe Gallego;;INHABILITAR
TI;;2041908598;;Lucrecia Ortiz;;INHABILITAR
CC;;2049813633;;Gloria Montoya;;INHABILITAR
CE;;2096769710;;Rodrigo Cano;;INHABILITAR
NUIP;;2058166527;;Roberto Molina;;EMBARGAR
TI;;2064888455;;Nathalia Vega;;INHABILITAR
CC;;2024744393;;Ana Lara;;EMBARGAR
NUIP;;2068976783;;Samuel Vega;;INHABILITAR
CE;;2070516558;;Tatiana Robledo;;EMBARGAR
NUIP;;2031403820;;Hector Molina;;EMBARGAR
RC;;2084785911;;Ricardo Vargas;;INHABILITAR
RC;;2032382366;;Andres Cano;;EMBARGAR
CE;;2049185605;;Cristian Cano;;INHABILITAR
TI;;2008651597;;Valentina Castro;;INHABILITAR
CE;;2091874630;;Ricardo Moreno;;INHABILITAR
NUIP;;2085579492;;Cesar Ramirez;;EMBARGAR
NUIP;;2095248167;;Teresa Jaramillo;;INHABILITAR
RC;;2030677729;;Carmen Zapata;;INHABILITAR
CE;;2080801610;;Laura Herrera;;INHABILITAR
NUIP;;2079263488;;Ricardo Mendez;;EMBARGAR
NUIP;;2024386395;;Rosa Ospina;;EMBARGAR
CC;;2003389721;;Marta Herrera;;EMBARGAR
NUIP;;2093137752;;Roberto Rivera;;EMBARGAR
CE;;2085157616;;Esteban Gutierrez;;INHABILITAR
TI;;2014705047;;Diego Munoz;;EMBARGAR
CE;;2030614849;;Ana Martinez;;EMBARGAR
RC;;2080622371;;Miguel Diaz;;INHABILITAR
RC;;2019582799;;Laura Arias;;EMBARGAR
RC;;2077920675;;Alonso Acosta;;EMBARGAR
TI;;2057872705;;Manuel Lopez;;INHABILITAR
CE;;2054480560;;Ivan Aguilar;;EMBARGAR
NUIP;;2005352643;;Eduardo Cano;;EMBARGAR
CC;;2040674365;;Tatiana Giraldo;;EMBARGAR
CE;;2078501022;;Fernando Salazar;;INHABILITAR
NUIP;;2011418772;;Jose Gomez;;EMBARGAR
RC;;2075038636;;Oscar Castro;;INHABILITAR
RC;;2020121563;;Cristian Gutierrez;;EMBARGAR
RC;;2099453272;;Luis Acosta;;EMBARGAR
CE;;2015429393;;Liliana Castro;;INHABILITAR
TI;;2008345740;;Liliana Mendez;;INHABILITAR
NUIP;;2037602632;;Luis Lara;;INHABILITAR
CC;;2010803181;;Julia Herrera;;INHABILITAR
CC;;2005088135;;Cesar Ramirez;;INHABILITAR
