tipo_documento;;documento;;nombre_completo;;caracterizacion
RC;;2056520594;;Pedro Acosta;;INHABILITAR
NUIP;;2019997057;;Carmen Diaz;;INHABILITAR
CE;;2009082300;;Alicia Torres;;EMBARGAR
CC;;2081770743;;Alonso Arias;;EMBARGAR
TI;;2060106750;;Laura Vega;;INHABILITAR
CC;;2056504786;;Fernando Herrera;;EMBARGAR
CC;;2076925487;;Marta Quiroz;;EMBARGAR
CC;;2024970109;;Gloria Giraldo;;INHABILITAR
CC;;2082758924;;Juan Bonilla;;EMBARGAR
CC;;2084303429;;Valentina Rodriguez;;EMBARGAR
CE;;2080660412;;Pedro Duarte;;INHABILITAR
RC;;2098170553;;Gloria Cano;;INHABILITAR
CE;;2003617283;;Raquel Acosta;;INHABILITAR
NUIP;;2011279153;;Eduardo Molina;;EMBARGAR
NUIP;;2058908172;;Alfredo Cano;;EMBARGAR
CE;;2035650381;;Liliana Martinez;;INHABILITAR
NUIP;;2054074335;;Oscar Mendez;;EMBARGAR
CC;;2060225853;;Silvia Munoz;;INHABILITAR
CC;;2063017178;;Gustavo Cabrera;;EMBARGAR
RC;;2003820084;;Nathalia Ortiz;;EMBARGAR
CC;;2086710805;;Oscar Lara;;INHABILITAR
NUIP;;2027417153;;Teresa Castaño;;EMBARGAR
RC;;2087148903;;Mauricio Bautista;;EMBARGAR
TI;;2031989360;;Hernan Vega;;EMBARGAR
TI;;2098569123;;Eduardo Jaramillo;;EMBARGAR
TI;;2062802531;;Lorena Cardenas;;EMBARGAR
CC;;2009698558;;Alonso Gomez;;EMBARGAR
CC;;2047754714;;Valentina Mendez;;INHABILITAR
RC;;2092333688;;Alfredo Castro;;INHABILITAR
CC;;2072329002;;Carmen Montoya;;INHABILITAR
CC;;2042580313;;Silvia Mendez;;INHABILITAR
RC;;2061330752;;Liliana Torres;;EMBARGAR
CC;;2034154605;;Roberto Franco;;EMBARGAR
TI;;2043556020;;Lucrecia Rivera;;EMBARGAR
CE;;2021684612;;Diego Jimenez;;INHABILITAR
CC;;2041735061;;Carmen Diaz;;EMBARGAR
RC;;2056170927;;Rosa Prieto;;INHABILITAR
TI;;2082768762;;Teresa Herrera;;EMBARGAR
RC;;2062509365;;Santiago Diaz;;INHABILITAR
NUIP;;2064388367;;Claudia Herrera;;EMBARGAR
CE;;2069755542;;Mariana Castro;;EMBARGAR
RC;;2082327812;;Javier Cano;;INHABILITAR
TI;;2054169756;;Patricia Molina;;EMBARGAR
TI;;2035547532;;Liliana Velasquez;;INHABILITAR
CE;;2093344362;;Tatiana Velasquez;;EMBARGAR
CE;;2026175503;;Julia Zapata;;INHABILITAR
NUIP;;2023249536;;Victor Diaz;;EMBARGAR
CE;;2082854586;;Jose Herrera;;EMBARGAR
CC;;2099489091;;Oscar Ortiz;;INHABILITAR
NUIP;;2093603548;;Julia Zapata;;INHABILITAR
CE;;2061592341;;Felipe Rodriguez;;EMBARGAR
CC;;2031162734;;Veronica Herrera;;EMBARGAR
NUIP;;2008448328;;Laura Torres;;EMBARGAR
CE;;2099709246;;Rodrigo Arango;;EMBARGAR
TI;;2086131482;;Alonso Robledo;;INHABILITAR
TI;;2039485933;;Carmen Moreno;;INHABILITAR
TI;;2024304225;;Felipe Gutierrez;;INHABILITAR
NUIP;;2010062405;;Cristian Montoya;;INHABILITAR
CC;;2069217179;;Tatiana Arias;;EMBARGAR
NUIP;;2044842555;;Rodrigo Moreno;;INHABILITAR
NUIP;;2059782750;;Camila Duarte;;EMBARGAR
NUIP;;2080851408;;Teresa Diaz;;INHABILITAR
CC;;2054145946;;Laura Aguilar;;EMBARGAR
NUIP;;2096472008;;Hector Castillo;;EMBARGAR
CC;;2086561252;;Luis Robledo;;EMBARGAR
NUIP;;2014789253;;Rosa Castaño;;EMBARGAR
TI;;2009209871;;Gustavo Ruiz;;EMBARGAR
RC;;2015504509;;Nathalia Ospina;;INHABILITAR
CC;;2016861384;;Marta Rios;;EMBARGAR
CC;;2040073709;;Marta Cano;;INHABILITAR
RC;;2078862145;;Luisa Bonilla;;EMBARGAR
CC;;2028368581;;Javier Moreno;;INHABILITAR
CE;;2040608190;;Teresa Gallego;;INHABILITAR
CC;;2082244921;;Ricardo Jimenez;;EMBARGAR
RC;;2023173304;;Alonso Fernandez;;EMBARGAR
CE;;2081087040;;Hector Ruiz;;INHABILITAR
RC;;2008482345;;Luisa Rojas;;EMBARGAR
RC;;2098769447;;Sandra Rivera;;EMBARGAR
RC;;2047147776;;Victor Gomez;;EMBARGAR
RC;;2019966013;;Rodrigo Ruiz;;EMBARGAR
TI;;2001590583;;Ivan Torres;;EMBARGAR
TI;;2076062047;;Silvia Arias;;INHABILITAR
CE;;2047952400;;Mauricio Cano;;INHABILITAR
RC;;2054909722;;Silvia Robledo;;EMBARGAR
CE;;2066337521;;Cesar Moreno;;INHABILITAR
RC;;2053375179;;Julia Ortiz;;INHABILITAR
NUIP;;2070763796;;Ricardo Cano;;INHABILITAR
NUIP;;2030374800;;Beatriz Cano;;EMBARGAR
TI;;2017689902;;Julia Quiroz;;EMBARGAR
RC;;2080202002;;Tatiana Cano;;EMBARGAR
NUIP;;2021179624;;Miguel Jimenez;;INHABILITAR
RC;;2025206669;;Gustavo Herrera;;EMBARGAR
TI;;2050945628;;Victor Ruiz;;EMBARGAR
TI;;2017032568;;Santiago Valencia;;INHABILITAR
TI;;2066335623;;Rafael Munoz;;EMBARGAR
RC;;2048775477;;Samuel Aguilar;;INHABILITAR
NUIP;;2078825599;;Felipe Arango;;EMBARGAR
CC;;2097124679;;Gustavo Fernandez;;INHABILITAR
NUIP;;2077430638;;Miguel Hernandez;;INHABILITAR
NUIP;;2099241373;;Ricardo Acosta;;INHABILITAR
