tipo_documento;;documento;;nombre_completo;;caracterizacion
RC;;2028264798;;Beatriz Lara;;INHABILITAR
NUIP;;2090957688;;Esteban Cano;;INHABILITAR
CC;;2013391880;;Cesar Gomez;;INHABILITAR
NUIP;;2089745747;;Felipe Torres;;INHABILITAR
TI;;2065539433;;Diego Cabrera;;INHABILITAR
RC;;2007908044;;Andres Cano;;EMBARGAR
NUIP;;2096347830;;Pedro Gomez;;INHABILITAR
RC;;2095869845;;Tatiana Salazar;;EMBARGAR
RC;;2012359775;;Luisa Herrera;;EMBARGAR
CE;;2060023677;;Raquel Jaramillo;;EMBARGAR
CC;;2095210108;;Cesar Cano;;EMBARGAR
NUIP;;2015362630;;Catalina Arango;;INHABILITAR
CE;;2068638780;;Raquel Herrera;;INHABILITAR
NUIP;;2025162725;;Pedro Herrera;;INHABILITAR
CE;;2000579233;;Gustavo Garcia;;INHABILITAR
TI;;2080299715;;Jorge Quiroz;;EMBARGAR
CC;;2020306401;;Mariana Bautista;;EMBARGAR
TI;;2059123069;;Oscar Moreno;;EMBARGAR
RC;;2047724982;;Roberto Valencia;;INHABILITAR
NUIP;;2066016786;;Tatiana Zapata;;EMBARGAR
CE;;2021622223;;Oscar Ramirez;;EMBARGAR
CE;;2085214315;;Ricardo Prieto;;INHABILITAR
CC;;2069573944;;Cesar Lopez;;INHABILITAR
NUIP;;2085916785;;Luisa Acosta;;EMBARGAR
NUIP;;2018627868;;Julia Rivera;;INHABILITAR
RC;;2030146388;;Veronica Rodriguez;;INHABILITAR
NUIP;;2016185897;;Claudia Zapata;;EMBARGAR
RC;;2098019316;;Beatriz Mejia;;INHABILITAR
TI;;2069915660;;Mariana Robledo;;INHABILITAR
CE;;2061484829;;Carlos Hernandez;;EMBARGAR
RC;;2084831694;;Felipe Bautista;;EMBARGAR
NUIP;;2083023862;;Lucrecia Acosta;;INHABILITAR
CC;;2049606268;;Luis Ramirez;;EMBARGAR
RC;;2011208027;;Mauricio Bonilla;;INHABILITAR
TI;;2076968382;;Javier Montoya;;EMBARGAR
TI;;2004694409;;Julia Rivera;;INHABILITAR
RC;;2021323806;;Paola Bautista;;INHABILITAR
RC;;2005682530;;Santiago Robledo;;EMBARGAR
CC;;2049586751;;Ivan Ramirez;;INHABILITAR
CE;;2055001085;;Diego Beltran;;INHABILITAR
NUIP;;2067526630;;Andres Mendez;;INHABILITAR
CE;;2054378312;;Jorge Garcia;;EMBARGAR
NUIP;;2019336119;;Ivan Ortiz;;INHABILITAR
NUIP;;2038818007;;Laura Duarte;;INHABILITAR
RC;;2053319448;;Andres Herrera;;INHABILITAR
TI;;2002475801;;Patricia Bautista;;EMBARGAR
CE;;2041790312;;Felipe Castro;;EMBARGAR
TI;;2002298876;;Mauricio Cardenas;;EMBARGAR
TI;;2089358142;;Carmen Duarte;;INHABILITAR
CC;;2000408568;;Santiago Vega;;INHABILITAR
RC;;2010385976;;Hector Moreno;;INHABILITAR
CC;;2090253055;;Rosa Cano;;EMBARGAR
CE;;2079973132;;Hernan Mendez;;INHABILITAR
TI;;2050269649;;Gabriela Duarte;;INHABILITAR
RC;;2029300588;;Carlos Sanchez;;INHABILITAR
CE;;2033545555;;Jose Hernandez;;EMBARGAR
CE;;2036006400;;Gabriela Vega;;EMBARGAR
RC;;2022580335;;Diana Cabrera;;INHABILITAR
RC;;2027517210;;Luis Robledo;;EMBARGAR
CC;;2085967396;;Paola Valencia;;INHABILITAR
RC;;2050778312;;Tatiana Castro;;EMBARGAR
NUIP;;2036894815;;Alonso Rivera;;EMBARGAR
RC;;2080870515;;Carmen Diaz;;INHABILITAR
CC;;2052237303;;Mauricio Hernandez;;INHABILITAR
NUIP;;2096979945;;Rodrigo Rios;;EMBARGAR
CE;;2063708920;;Alonso Giraldo;;EMBARGAR
NUIP;;2059172162;;Camila Cano;;EMBARGAR
CC;;2001221241;;Rosa Castro;;INHABILITAR
RC;;2094726327;;Luisa Arias;;EMBARGAR
CE;;2075141708;;Marta Franco;;INHABILITAR
CE;;2004589374;;Julia Salazar;;INHABILITAR
NUIP;;2054364742;;Ivan Aguilar;;INHABILITAR
TI;;2073253830;;Silvia Robledo;;INHABILITAR
TI;;2009529428;;Rodrigo Arias;;INHABILITAR
CC;;2078008789;;Jose Fernandez;;INHABILITAR
RC;;2045217619;;Ricardo Giraldo;;EMBARGAR
RC;;2003742788;;Marta Franco;;INHABILITAR
RC;;2004150247;;Violeta Bautista;;EMBARGAR
RC;;2063017201;;Cristian Rojas;;INHABILITAR
CC;;2064619083;;Marta Mendez;;INHABILITAR
CE;;2021456463;;Carlos Salazar;;EMBARGAR
NUIP;;2063304989;;Paula Lara;;INHABILITAR
CE;;2060288830;;Felipe Diaz;;EMBARGAR
TI;;2076137296;;Paola Salazar;;INHABILITAR
RC;;2083216376;;Luis Jaramillo;;EMBARGAR
RC;;2083556056;;Paula Arango;;EMBARGAR
TI;;2053120688;;Lorena Bonilla;;INHABILITAR
CC;;2001880630;;Luis Garcia;;EMBARGAR
CE;;2055831488;;Juan Herrera;;INHABILITAR
TI;;2069019066;;Laura Fernandez;;EMBARGAR
NUIP;;2045339052;;Veronica Acosta;;EMBARGAR
CE;;2085563758;;Lorena Gomez;;INHABILITAR
TI;;2004382786;;Alfredo Ruiz;;INHABILITAR
NUIP;;2052421785;;Cesar Arango;;INHABILITAR
CE;;2037490053;;Paula Gutierrez;;EMBARGAR
RC;;2036308266;;Carlos Acosta;;EMBARGAR
CE;;2070506936;;Lucrecia Lopez;;EMBARGAR
TI;;2089170621;;Ivan Ruiz;;INHABILITAR
RC;;2050363030;;Juan Moreno;;INHABILITAR
RC;;2099128158;;Pedro Cabrera;;INHABILITAR
