tipo_documento;;documento;;nombre_completo;;caracterizacion
CC;;2042980646;;Mauricio Castaño;;EMBARGAR
CC;;2057800291;;Diana Gomez;;EMBARGAR
TI;;2033010215;;Cesar Robledo;;EMBARGAR
CE;;2068372278;;Ricardo Giraldo;;EMBARGAR
CC;;2042479006;;Camila Cano;;INHABILITAR
CE;;2034899974;;Monica Garcia;;EMBARGAR
RC;;2006144056;;Rosa Ortiz;;INHABILITAR
CE;;2094513920;;Angela Gallego;;EMBARGAR
RC;;2047936289;;Veronica Zapata;;INHABILITAR
CC;;2028789858;;Samuel Velasquez;;INHABILITAR
CE;;2001106897;;Lorena Castro;;INHABILITAR
CC;;2098561899;;Juan Gomez;;INHABILITAR
TI;;2074498401;;Mariana Castro;;INHABILITAR
RC;;2021905982;;Luis Ortiz;;INHABILITAR
CE;;2088561545;;Raquel Castillo;;EMBARGAR
RC;;2043152439;;Miguel Ospina;;EMBARGAR
RC;;2017999879;;Sandra Giraldo;;INHABILITAR
CC;;2080962912;;Alicia Ruiz;;EMBARGAR
NUIP;;2029885427;;Alfredo Jaramillo;;EMBARGAR
RC;;2042066725;;Mariana Ruiz;;EMBARGAR
NUIP;;2026313398;;Angela Quiroz;;EMBARGAR
TI;;2038055792;;Jorge Ramirez;;EMBARGAR
RC;;2085257674;;Gabriel Cardenas;;EMBARGAR
TI;;2093141212;;Oscar Rios;;INHABILITAR
CE;;2082169673;;Liliana Velasquez;;EMBARGAR
NUIP;;2067958393;;Marcela Prieto;;INHABILITAR
CC;;2007856225;;Diego Diaz;;INHABILITAR
CE;;2051499941;;Victor Bonilla;;EMBARGAR
CE;;2012035677;;Veronica Salazar;;INHABILITAR
RC;;2083038518;;Carmen Herrera;;EMBARGAR
CC;;2028660263;;Andres Cabrera;;INHABILITAR
CC;;2099043946;;Marta Martinez;;INHABILITAR
NUIP;;2083199841;;Luis Jaramillo;;EMBARGAR
CE;;2050272431;;Ricardo Gallego;;INHABILITAR
TI;;2021219438;;Miguel Murillo;;EMBARGAR
CC;;2029259782;;Hector Diaz;;INHABILITAR
CC;;2035072552;;Oscar Ramirez;;EMBARGAR
CC;;2026361309;;Esteban Mejia;;EMBARGAR
CC;;2089946068;;Carlos Velasquez;;EMBARGAR
TI;;2056470935;;Ricardo Cardenas;;INHABILITAR
TI;;2053840269;;Mariana Ramirez;;INHABILITAR
CC;;2079115820;;Mariana Cano;;EMBARGAR
