tipo_documento;;documento;;nombre_completo;;caracterizacion
TI;;2074386384;;Hector Castro;;INHABILITAR
RC;;2092013585;;Eduardo Castro;;EMBARGAR
CE;;2087947763;;Esteban Bonilla;;INHABILITAR
RC;;2011939769;;Juan Vargas;;EMBARGAR
RC;;2049554662;;Hector Cabrera;;INHABILITAR
RC;;2018142915;;Lorena Moreno;;INHABILITAR
CC;;2000888816;;Esteban Garcia;;EMBARGAR
TI;;2052864550;;Tatiana Rivera;;INHABILITAR
CC;;2005278819;;Hector Moreno;;EMBARGAR
RC;;2076760942;;Felipe Quiroz;;EMBARGAR
TI;;2087287099;;Paola Herrera;;EMBARGAR
RC;;2076318168;;Paula Diaz;;INHABILITAR
CE;;2069594715;;Pedro Mendez;;EMBARGAR
RC;;2071498327;;Mauricio Moreno;;EMBARGAR
TI;;2052946302;;Beatriz Acosta;;INHABILITAR
TI;;2093486613;;Claudia Duarte;;EMBARGAR
NUIP;;2047256707;;Carlos Gomez;;INHABILITAR
CE;;2087674294;;Felipe Prieto;;EMBARGAR
CE;;2029156165;;Gustavo Gutierrez;;EMBARGAR
TI;;2066907691;;Marcela Vega;;EMBARGAR
TI;;2016489631;;Sebastian Lopez;;EMBARGAR
CE;;2074605036;;Monica Munoz;;INHABILITAR
CC;;2022893944;;Oscar Castillo;;INHABILITAR
CC;;2021617032;;Juan Gallego;;EMBARGAR
CC;;2068798240;;Felipe Ramirez;;EMBARGAR
TI;;2072878215;;Rafael Valencia;;EMBARGAR
TI;;2078904935;;Alfredo Ortiz;;INHABILITAR
CC;;2095568243;;Mariana Molina;;EMBARGAR
CE;;2053281019;;Gabriel Murillo;;EMBARGAR
NUIP;;2037446289;;Mariana Cano;;INHABILITAR
RC;;2058714380;;Mauricio Arias;;INHABILITAR
CC;;2026085499;;Felipe Moreno;;EMBARGAR
NUIP;;2025102691;;Miguel Gomez;;EMBARGAR
TI;;2077444385;;Ricardo Ruiz;;INHABILITAR
TI;;2055805435;;Gabriel Diaz;;EMBARGAR
TI;;2044896301;;Laura Castro;;INHABILITAR
RC;;2009919426;;Mariana Rivera;;EMBARGAR
TI;;2096297525;;Alicia Ortiz;;INHABILITAR
RC;;2079479743;;Hector Velasquez;;INHABILITAR
RC;;2097220430;;Marcela Salazar;;EMBARGAR
CC;;2037169833;;Laura Hernandez;;INHABILITAR
RC;;2039186567;;Jose Cabrera;;EMBARGAR
TI;;2047236446;;Sebastian Lopez;;EMBARGAR
RC;;2028764848;;Roberto Bonilla;;EMBARGAR
TI;;2076159521;;Rafael Lopez;;EMBARGAR
NUIP;;2025073594;;Alicia Gutierrez;;EMBARGAR
TI;;2025308029;;Marta Ruiz;;EMBARGAR
TI;;2090257724;;Patricia Ortiz;;INHABILITAR
CE;;2022394067;;Alicia Garcia;;EMBARGAR
CE;;2001393452;;Camila Castillo;;INHABILITAR
TI;;2036639023;;Hernan Giraldo;;INHABILITAR
RC;;2032443311;;Sebastian Prieto;;INHABILITAR
NUIP;;2053595852;;Jorge Lopez;;INHABILITAR
CE;;2043311349;;Cristian Jimenez;;EMBARGAR
CC;;2090693766;;Eduardo Diaz;;INHABILITAR
CC;;2076723481;;Luis Salazar;;EMBARGAR
TI;;2090960818;;Marta Salazar;;EMBARGAR
NUIP;;2021815901;;Fernando Duarte;;INHABILITAR
CC;;2097938745;;Cesar Hernandez;;EMBARGAR
CC;;2084211611;;Alicia Castro;;EMBARGAR
CE;;2074141377;;Carlos Cardenas;;EMBARGAR
TI;;2033523951;;Tatiana Torres;;INHABILITAR
TI;;2061739466;;Miguel Rodriguez;;INHABILITAR
NUIP;;2039406378;;Hernan Rodriguez;;INHABILITAR
NUIP;;2094189299;;Luis Cano;;EMBARGAR
CE;;2063398430;;Paola Franco;;INHABILITAR
CE;;2084040263;;Mauricio Montoya;;EMBARGAR
CC;;2074771025;;Cesar Diaz;;EMBARGAR
CC;;2054827439;;Laura Diaz;;INHABILITAR
CE;;2027881148;;Carlos Lara;;EMBARGAR
CC;;2043499905;;Ivan Castaño;;EMBARGAR
NUIP;;2065101400;;Esteban Duarte;;EMBARGAR
RC;;2073913430;;Adriana Valencia;;INHABILITAR
CC;;2082891065;;Ivan Franco;;EMBARGAR
TI;;2056132418;;Paola Rojas;;EMBARGAR
CE;;2029028468;;Claudia Cabrera;;INHABILITAR
RC;;2018513788;;Rafael Castro;;EMBARGAR
TI;;2011874611;;Mariana Herrera;;EMBARGAR
RC;;2094335921;;Marta Moreno;;INHABILITAR
RC;;2087948719;;Nathalia Jimenez;;INHABILITAR
CC;;2064931267;;Claudia Martinez;;EMBARGAR
NUIP;;2037377409;;Laura Franco;;INHABILITAR
CE;;2008976692;;Felipe Castaño;;INHABILITAR
CC;;2073891313;;Mauricio Vargas;;INHABILITAR
CC;;2085232118;;Roberto Rojas;;INHABILITAR
NUIP;;2018470704;;Camila Cano;;EMBARGAR
TI;;2013909069;;Liliana Castro;;INHABILITAR
CC;;2017471366;;Julia Ospina;;INHABILITAR
TI;;2001917845;;Felipe Ortiz;;INHABILITAR
RC;;2051188683;;Teresa Moreno;;INHABILITAR
CE;;2078273903;;Laura Ortiz;;EMBARGAR
CE;;2082203679;;Violeta Ospina;;EMBARGAR
RC;;2090241678;;Jose Lopez;;EMBARGAR
CE;;2034311712;;Gabriel Jaramillo;;EMBARGAR
CE;;2087310237;;Hernan Castro;;EMBARGAR
NUIP;;2021746800;;Ricardo Ortiz;;INHABILITAR
CC;;2031352197;;Lucrecia Herrera;;EMBARGAR
TI;;2033844511;;Tatiana Rivera;;EMBARGAR
TI;;2071134705;;Silvia Ortiz;;EMBARGAR
TI;;2006235945;;Veronica Robledo;;INHABILITAR
