tipo_documento;;documento;;nombre_completo;;caracterizacion
CE;;2059236765;;Sandra Vargas;;INHABILITAR
RC;;2029860596;;Ricardo Diaz;;INHABILITAR
CE;;2009735677;;Rodrigo Vega;;INHABILITAR
TI;;2024454232;;Claudia Prieto;;INHABILITAR
NUIP;;2099890809;;Paula Salazar;;INHABILITAR
CC;;2016821404;;Camila Moreno;;INHABILITAR
RC;;2014571283;;Cesar Gomez;;INHABILITAR
NUIP;;2015000979;;Fernando Beltran;;EMBARGAR
CC;;2023598884;;Patricia Gutierrez;;EMBARGAR
NUIP;;2065831909;;Jorge Moreno;;INHABILITAR
CE;;2041303805;;Mariana Velasquez;;INHABILITAR
NUIP;;2049321818;;Gustavo Beltran;;INHABILITAR
CC;;2070080827;;Hernan Ramirez;;EMBARGAR
TI;;2013550531;;Carlos Montoya;;INHABILITAR
RC;;2068900867;;Roberto Cardenas;;INHABILITAR
CE;;2006746197;;Ricardo Prieto;;INHABILITAR
CE;;2013491510;;Gabriela Bonilla;;EMBARGAR
TI;;2099538777;;Paula Moreno;;EMBARGAR
NUIP;;2082907931;;Patricia Montoya;;EMBARGAR
NUIP;;2090020546;;Gabriela Molina;;EMBARGAR
NUIP;;2034847814;;Teresa Moreno;;EMBARGAR
NUIP;;2026711757;;Violeta Jaramillo;;EMBARGAR
CE;;2088176626;;Gabriela Diaz;;INHABILITAR
CE;;2059658804;;Luis Arango;;EMBARGAR
TI;;2018777014;;Patricia Diaz;;INHABILITAR
RC;;2043011892;;Teresa Murillo;;EMBARGAR
CE;;2058226412;;Rosa Acosta;;INHABILITAR
CC;;2035013481;;Javier Castillo;;EMBARGAR
CC;;2063354701;;Hernan Fernandez;;INHABILITAR
NUIP;;2086039521;;Gabriela Martinez;;EMBARGAR
RC;;2042478607;;Ricardo Zapata;;INHABILITAR
CC;;2092025395;;Angela Velasquez;;EMBARGAR
RC;;2013124170;;Catalina Cardenas;;INHABILITAR
CC;;2093761385;;Mauricio Ruiz;;INHABILITAR
TI;;2048593518;;Catalina Acosta;;EMBARGAR
NUIP;;2002092027;;Jose Beltran;;INHABILITAR
CC;;2030554253;;Marta Valencia;;EMBARGAR
CE;;2080369668;;Ricardo Molina;;INHABILITAR
NUIP;;2076948548;;Luis Montoya;;INHABILITAR
RC;;2074008191;;Manuel Castaño;;EMBARGAR
TI;;2097622311;;Mauricio Fernandez;;EMBARGAR
CE;;2090155122;;Diego Castro;;INHABILITAR
TI;;2065781242;;Victor Giraldo;;INHABILITAR
TI;;2088426427;;Patricia Robledo;;INHABILITAR
RC;;2019213122;;Roberto Martinez;;EMBARGAR
RC;;2041607653;;Carlos Montoya;;INHABILITAR
CC;;2065204847;;Rodrigo Cabrera;;INHABILITAR
TI;;2035992134;;Felipe Gomez;;INHABILITAR
RC;;2090195047;;Mariana Arias;;EMBARGAR
NUIP;;2070215753;;Gabriel Cano;;EMBARGAR
NUIP;;2021509117;;Pedro Ruiz;;INHABILITAR
RC;;2094349530;;Samuel Velasquez;;INHABILITAR
CE;;2023488125;;Gustavo Jimenez;;INHABILITAR
CC;;2071487539;;Tatiana Ruiz;;EMBARGAR
NUIP;;2067685749;;Nathalia Ortiz;;INHABILITAR
RC;;2051309064;;Pedro Rios;;INHABILITAR
CC;;2003967010;;Hector Montoya;;INHABILITAR
NUIP;;2041270128;;Alfredo Velasquez;;INHABILITAR
CC;;2096210900;;Ricardo Ortiz;;EMBARGAR
CE;;2007981947;;Victor Mendez;;EMBARGAR
RC;;2017548312;;Tatiana Castro;;EMBARGAR
NUIP;;2076806686;;Gabriela Vega;;INHABILITAR
NUIP;;2051947474;;Gustavo Diaz;;INHABILITAR
CE;;2032871408;;Manuel Lopez;;EMBARGAR
CC;;2090653058;;Manuel Rodriguez;;INHABILITAR
TI;;2095168033;;Veronica Ruiz;;EMBARGAR
CE;;2001769801;;Gabriel Murillo;;INHABILITAR
CE;;2064182682;;Santiago Gallego;;INHABILITAR
CC;;2062778693;;Javier Ruiz;;EMBARGAR
NUIP;;2058188215;;Valentina Cardenas;;EMBARGAR
CC;;2065677837;;Lorena Fernandez;;INHABILITAR
NUIP;;2026700075;;Violeta Herrera;;EMBARGAR
RC;;2015405049;;Sebastian Rojas;;INHABILITAR
RC;;2038301106;;Camila Prieto;;EMBARGAR
RC;;2061960911;;Lucrecia Ruiz;;EMBARGAR
NUIP;;2020681026;;Alfredo Quiroz;;INHABILITAR
CE;;2062316523;;Luis Zapata;;EMBARGAR
NUIP;;2037403426;;Carlos Prieto;;EMBARGAR
TI;;2045360165;;Samuel Moreno;;INHABILITAR
RC;;2004876972;;Marcela Arango;;INHABILITAR
TI;;2041522110;;Mauricio Ramirez;;INHABILITAR
RC;;2041121649;;Ana Arias;;EMBARGAR
TI;;2033656156;;Teresa Cano;;INHABILITAR
TI;;2020919912;;Gabriel Salazar;;EMBARGAR
RC;;2085342461;;Raquel Rojas;;INHABILITAR
RC;;2096070244;;Paola Sanchez;;EMBARGAR
CE;;2049048562;;Julia Aguilar;;INHABILITAR
NUIP;;2052895029;;Javier Montoya;;EMBARGAR
RC;;2057478673;;Camila Mejia;;EMBARGAR
NUIP;;2055776286;;Felipe Diaz;;EMBARGAR
NUIP;;2092952251;;Rosa Gutierrez;;INHABILITAR
NUIP;;2072549905;;Liliana Montoya;;INHABILITAR
CE;;2018193446;;Teresa Valencia;;INHABILITAR
RC;;2019302242;;Andres Robledo;;INHABILITAR
NUIP;;2083112731;;Roberto Cano;;INHABILITAR
CC;;2037967553;;Gustavo Ruiz;;INHABILITAR
NUIP;;2057733529;;Rafael Mendez;;INHABILITAR
TI;;2005696329;;Felipe Moreno;;INHABILITAR
NUIP;;2078138515;;Hernan Hernandez;;INHABILITAR
CC;;2023059751;;Gloria Hernandez;;EMBARGAR
